year,team,elo,last_division,matches,last_match_date
2007,サンフレッチェ広島,1467.0862434700791,J1,524,2007-12-01
2007,ジェフユナイテッド千葉,1531.762921269687,J1,510,2007-12-01
2007,横浜フリューゲルス,1522.2671967481022,J1,228,1998-11-14
2007,清水エスパルス,1633.8386462088376,J1,510,2007-12-01
2007,鹿島アントラーズ,1681.4648147564421,J1,510,2007-12-01
2007,名古屋グランパス,1554.3105162778936,J1,510,2007-12-01
2007,湘南ベルマーレ,1457.1916286066994,J2,578,2007-12-01
2007,ジュビロ磐田,1568.029437669275,J1,474,2007-12-01
2007,セレッソ大阪,1517.9346713768334,J2,458,2007-12-01
2007,柏レイソル,1535.5208424583186,J1,444,2007-12-01
2007,アビスパ福岡,1461.8658423639192,J2,444,2007-12-01
2007,京都サンガF.C.,1506.0914975382263,J2,430,2007-12-01
2007,ヴィッセル神戸,1556.039242841017,J1,362,2007-12-01
2007,北海道コンサドーレ札幌,1499.1921633439342,J2,398,2007-12-01
2007,ベガルタ仙台,1504.657057768767,J2,364,2007-12-01
2007,モンテディオ山形,1402.1896438933036,J2,392,2007-11-25
2007,ヴァンフォーレ甲府,1427.4498617444017,J1,364,2007-12-01
2007,大宮アルディージャ,1491.5489883501343,J1,354,2007-12-01
2007,大分トリニータ,1511.4959908854562,J1,326,2007-12-01
2007,川崎フロンターレ,1633.855835427242,J1,344,2007-12-01
2007,アルビレックス新潟,1535.9962251675818,J1,340,2007-12-01
2007,ＦＣ東京,1530.8858532919241,J1,288,2007-12-01
2007,サガン鳥栖,1472.7413480659054,J2,392,2007-12-01
2007,水戸ホーリーホック,1313.26548216305,J2,356,2007-12-01
2007,横浜ＦＣ,1396.250658380743,J1,302,2007-12-01
2007,ザスパ群馬,1339.9376079086367,J2,140,2007-12-01
2007,徳島ヴォルティス,1289.587615095045,J2,140,2007-12-01
2007,愛媛ＦＣ,1362.7660614205358,J2,96,2007-12-01
2008,東京ヴェルディ,1499.772627094812,J1,572,2008-12-06
2008,横浜Ｆ・マリノス,1605.1703893016681,J1,544,2008-12-06
2008,ガンバ大阪,1591.9100558797218,J1,544,2008-12-06
2008,浦和レッズ,1618.7761947910703,J1,554,2008-12-06
2008,サンフレッチェ広島,1626.5229348034447,J2,566,2008-12-06
2008,ジェフユナイテッド千葉,1516.5770378415386,J1,544,2008-12-06
2008,横浜フリューゲルス,1518.9271172358867,J1,228,1998-11-14
2008,清水エスパルス,1634.2316657549848,J1,544,2008-12-06
2008,鹿島アントラーズ,1675.164502430212,J1,544,2008-12-06
2008,名古屋グランパス,1596.9057559418277,J1,544,2008-12-06
2008,湘南ベルマーレ,1485.7222972040454,J2,620,2008-12-06
2008,ジュビロ磐田,1517.9113938504313,J1,508,2008-12-06
2008,セレッソ大阪,1529.2873161038583,J2,500,2008-12-06
2008,柏レイソル,1546.9982534109413,J1,478,2008-12-06
2008,アビスパ福岡,1443.681368940205,J2,486,2008-12-06
2008,京都サンガF.C.,1505.2140795976172,J1,464,2008-12-06
2008,ヴィッセル神戸,1561.425668851034,J1,396,2008-12-06
2008,北海道コンサドーレ札幌,1408.5480401473044,J1,432,2008-12-06
2008,ベガルタ仙台,1510.904401081181,J2,406,2008-12-06
2008,モンテディオ山形,1513.3075700498223,J2,434,2008-12-06
2008,ヴァンフォーレ甲府,1469.5501577579103,J2,406,2008-12-06
2008,大宮アルディージャ,1500.4307591448342,J1,388,2008-12-06
2008,大分トリニータ,1577.942634138647,J1,360,2008-12-06
2008,川崎フロンターレ,1661.2448060725712,J1,378,2008-12-06
2008,アルビレックス新潟,1514.0228240808306,J1,374,2008-12-06
2008,ＦＣ東京,1569.8003984656812,J1,322,2008-12-06
2008,サガン鳥栖,1448.0364238985012,J2,434,2008-12-06
2008,水戸ホーリーホック,1348.9309489420575,J2,398,2008-12-06
2008,横浜ＦＣ,1406.0924060559137,J2,344,2008-12-06
2008,ザスパ群馬,1384.10543524792,J2,182,2008-12-06
2008,徳島ヴォルティス,1293.6583585701446,J2,182,2008-12-06
2008,愛媛ＦＣ,1330.826587424879,J2,138,2008-12-06
2008,ロアッソ熊本,1397.856431151846,J2,42,2008-11-30
2008,ＦＣ岐阜,1387.502526687502,J2,42,2008-12-06
2009,東京ヴェルディ,1464.935263382547,J2,623,2009-12-05
2009,横浜Ｆ・マリノス,1592.1129812035565,J1,578,2009-12-05
2009,ガンバ大阪,1629.384042070112,J1,578,2009-12-05
2009,浦和レッズ,1570.1847601559623,J1,588,2009-12-05
2009,サンフレッチェ広島,1625.4170279935238,J1,600,2009-12-05
2009,ジェフユナイテッド千葉,1450.5254637796133,J1,578,2009-12-05
2009,横浜フリューゲルス,1516.0880496505038,J1,228,1998-11-14
2009,清水エスパルス,1589.223122978674,J1,578,2009-12-05
2009,鹿島アントラーズ,1666.8424672441329,J1,578,2009-12-05
2009,名古屋グランパス,1596.403215491779,J1,578,2009-12-05
2009,湘南ベルマーレ,1539.8851246931185,J2,671,2009-12-05
2009,ジュビロ磐田,1509.456223315763,J1,542,2009-12-05
2009,セレッソ大阪,1588.3023961695294,J2,551,2009-12-05
2009,柏レイソル,1516.0442971781717,J1,512,2009-12-05
2009,アビスパ福岡,1438.7349381750973,J2,537,2009-12-05
2009,京都サンガF.C.,1500.2005937055849,J1,498,2009-12-05
2009,ヴィッセル神戸,1529.3569913588026,J1,430,2009-12-05
2009,北海道コンサドーレ札幌,1487.2661694936219,J2,483,2009-12-05
2009,ベガルタ仙台,1604.3174816171922,J2,457,2009-12-05
2009,モンテディオ山形,1506.7243868069343,J1,468,2009-12-05
2009,ヴァンフォーレ甲府,1538.4372904800518,J2,457,2009-12-05
