rank,prev_weight,prev_decay,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,delta_vs_v14_prev04_decay100,rank_within_prev_weight
14,0.45,0.985,2000,2.2182500000000007,4.812000000000001,8,4.764999999999999,3.235000000000001,2,6.216999999999999,4.216999999999999,3,5.654,2.654,14,10.335499999999998,3.664500000000002,6,9.175999999999998,3.1759999999999984,16,12.293999999999999,3.7060000000000013,15,17.8665,2.8664999999999985,0.011100000000000776,2
15,0.5,0.985,2000,2.2191499999999995,4.724499999999997,8,4.776,3.224,2,6.228,4.228,3,5.676499999999999,2.676499999999999,14,10.358,3.6419999999999995,6,9.0015,3.0015,16,12.3025,3.6975,15,17.8355,2.8354999999999997,0.011999999999999567,1
16,0.4,0.98,2000,2.2195999999999994,4.822000000000003,8,4.673999999999999,3.3260000000000014,2,6.0345,4.0345,3,5.298,2.298,14,10.234500000000002,3.7654999999999976,6,9.476,3.476000000000001,16,12.014500000000004,3.9854999999999965,15,17.909,2.908999999999999,0.012449999999999406,3
17,0.3,0.99,2000,2.2220499999999994,4.842499999999999,8,4.6000000000000005,3.3999999999999995,2,5.788,3.7880000000000003,3,4.973000000000001,1.9730000000000008,14,10.174,3.8260000000000005,6,9.700999999999999,3.7009999999999987,16,11.813500000000003,4.186499999999997,15,18.0425,3.0425000000000004,0.01489999999999947,1
18,0.5,0.99,2000,2.2226,4.6515,8,4.768999999999999,3.2310000000000008,2,6.3885,4.3885,3,5.7485,2.7485,14,10.187,3.8130000000000006,6,8.970500000000001,2.9705000000000013,16,12.351,3.648999999999999,15,17.8235,2.8234999999999992,0.015449999999999964,2
19,0.4,0.985,2000,2.2230000000000003,4.783999999999999,8,4.644499999999998,3.355500000000002,2,6.014000000000001,4.014000000000001,3,5.287,2.287,14,10.330499999999999,3.669500000000001,6,9.493999999999996,3.493999999999996,16,11.935,4.0649999999999995,15,17.915,2.914999999999999,0.015850000000000364,4
20,0.55,0.98,2000,2.2247999999999997,4.631,8,4.823,3.1769999999999996,2,6.631,4.631,3,5.854000000000001,2.854000000000001,14,10.366999999999999,3.633000000000001,6,9.006,3.0060000000000002,16,12.5795,3.4205000000000005,15,17.689999999999998,2.6899999999999977,0.01764999999999972,4
21,0.5,0.98,2000,2.2252,4.790000000000001,8,4.804999999999999,3.195000000000001,2,6.295499999999999,4.295499999999999,3,5.642,2.6420000000000003,14,10.220499999999998,3.7795000000000023,6,9.0965,3.0965000000000007,16,12.265500000000001,3.734499999999999,15,17.7265,2.7265000000000015,0.01805000000000012,3
22,0.4,0.99,2000,2.2258000000000004,4.901499999999999,8,4.664999999999999,3.335000000000001,2,5.9905,3.9905,3,5.311500000000001,2.3115000000000014,14,10.359999999999998,3.6400000000000023,6,9.3395,3.3394999999999992,16,11.9995,4.000500000000001,15,17.9535,2.9534999999999982,0.0186500000000005,5
23,0.3,0.985,2000,2.2261,4.9785,8,4.5565,3.4435000000000002,2,5.871500000000001,3.871500000000001,3,5.050000000000001,2.0500000000000007,14,10.3145,3.6854999999999993,6,9.646,3.646000000000001,16,11.777000000000001,4.222999999999999,15,18.080000000000002,3.080000000000002,0.018950000000000244,2
