match_id,year,date,home,away,actual_home_goal,actual_away_goal,lambda_home,lambda_away,split
J1_2023_262,2023,2023-10-20,川崎フロンターレ,アビスパ福岡,4,2,1.4661992843110792,0.5461335540408553,second_half
J1_2023_263,2023,2023-10-20,浦和レッズ,柏レイソル,2,0,1.764108493962032,0.6553141808329669,second_half
J1_2023_264,2023,2023-10-21,アルビレックス新潟,サガン鳥栖,1,1,1.115273044119274,1.431134334502873,second_half
J1_2023_265,2023,2023-10-21,ガンバ大阪,名古屋グランパス,0,1,0.8286878095541371,1.4196272838144754,second_half
J1_2023_266,2023,2023-10-21,サンフレッチェ広島,セレッソ大阪,0,0,1.086586742808373,0.8173915214460012,second_half
J1_2023_267,2023,2023-10-21,ヴィッセル神戸,鹿島アントラーズ,3,1,1.103985727157639,0.7517325915378023,second_half
J1_2023_268,2023,2023-10-21,京都サンガF.C.,湘南ベルマーレ,0,1,0.7884172759233815,1.421572547037286,second_half
J1_2023_269,2023,2023-10-21,横浜Ｆ・マリノス,北海道コンサドーレ札幌,4,1,3.1347417730963345,1.3803322352552538,second_half
J1_2023_270,2023,2023-10-21,横浜ＦＣ,ＦＣ東京,1,0,1.0694454393968102,1.2056061059921628,second_half
J1_2023_271,2023,2023-10-27,名古屋グランパス,サガン鳥栖,1,1,1.1232113682830442,0.7717185478063209,second_half
J1_2023_272,2023,2023-10-28,アビスパ福岡,横浜Ｆ・マリノス,0,4,1.0299540300627736,1.4235862698821937,second_half
J1_2023_273,2023,2023-10-28,セレッソ大阪,ガンバ大阪,1,0,2.1962596350922268,0.9835269481370338,second_half
J1_2023_274,2023,2023-10-28,京都サンガF.C.,アルビレックス新潟,0,1,0.7783486704636349,1.2949274142266685,second_half
J1_2023_275,2023,2023-10-28,北海道コンサドーレ札幌,横浜ＦＣ,2,1,2.615165853843705,1.2310175650045738,second_half
J1_2023_276,2023,2023-10-28,湘南ベルマーレ,ヴィッセル神戸,1,1,1.046965673889323,2.7387553358988157,second_half
J1_2023_277,2023,2023-10-28,鹿島アントラーズ,浦和レッズ,0,0,0.7148567851201204,0.7465087645892956,second_half
J1_2023_278,2023,2023-10-28,ＦＣ東京,サンフレッチェ広島,1,2,1.6368323488672658,1.335918718478238,second_half
J1_2023_279,2023,2023-10-29,柏レイソル,川崎フロンターレ,1,1,1.1910803244016321,2.1420540378968873,second_half
J1_2023_280,2023,2023-11-11,アルビレックス新潟,ＦＣ東京,0,0,1.5707628012435997,1.077369574720983,second_half
J1_2023_281,2023,2023-11-11,ガンバ大阪,アビスパ福岡,1,2,1.5240169033975839,0.8749512300165904,second_half
J1_2023_282,2023,2023-11-11,サガン鳥栖,横浜ＦＣ,1,3,1.5812656446598774,0.901409388515503,second_half
J1_2023_283,2023,2023-11-11,北海道コンサドーレ札幌,サンフレッチェ広島,0,0,1.5735164039230454,1.677900013240702,second_half
J1_2023_284,2023,2023-11-11,湘南ベルマーレ,名古屋グランパス,2,1,0.8725884849492013,1.9823325923148025,second_half
J1_2023_285,2023,2023-11-11,鹿島アントラーズ,柏レイソル,1,1,1.3022109419085375,0.7450682230115776,second_half
J1_2023_286,2023,2023-11-12,川崎フロンターレ,京都サンガF.C.,3,3,1.4123374293913888,0.8824246329597114,second_half
J1_2023_287,2023,2023-11-12,横浜Ｆ・マリノス,セレッソ大阪,2,0,1.8962335127421244,0.7946176322078038,second_half
J1_2023_288,2023,2023-11-12,浦和レッズ,ヴィッセル神戸,1,2,1.3692157351620624,1.5197629417207033,second_half
J1_2023_289,2023,2023-11-24,川崎フロンターレ,鹿島アントラーズ,3,0,0.7876306407258111,0.8363490964137996,second_half
J1_2023_290,2023,2023-11-24,横浜Ｆ・マリノス,アルビレックス新潟,0,0,2.285642987665152,0.7214493317161648,second_half
J1_2023_291,2023,2023-11-25,サンフレッチェ広島,ガンバ大阪,3,0,2.090193429680115,0.7329219499722558,second_half
J1_2023_292,2023,2023-11-25,セレッソ大阪,京都サンガF.C.,0,1,1.5592350265328165,1.2470646980541071,second_half
J1_2023_293,2023,2023-11-25,ヴィッセル神戸,名古屋グランパス,2,1,1.1174678192276837,0.7964621450193514,second_half
J1_2023_294,2023,2023-11-25,柏レイソル,サガン鳥栖,2,2,0.9360192681320278,1.5746147000614443,second_half
J1_2023_295,2023,2023-11-25,横浜ＦＣ,湘南ベルマーレ,0,1,0.8979043393772311,1.681967459310414,second_half
J1_2023_296,2023,2023-11-25,浦和レッズ,アビスパ福岡,2,3,2.098687373985879,0.6779671381973467,second_half
J1_2023_297,2023,2023-11-25,ＦＣ東京,北海道コンサドーレ札幌,1,3,2.57503649627868,2.2898750171029225,second_half
J1_2023_298,2023,2023-12-03,アビスパ福岡,サンフレッチェ広島,0,1,0.9494328464152549,0.9553825510847471,second_half
J1_2023_299,2023,2023-12-03,アルビレックス新潟,セレッソ大阪,1,0,1.080148640786998,1.5080148445857873,second_half
J1_2023_300,2023,2023-12-03,ガンバ大阪,ヴィッセル神戸,0,1,0.9942919324957892,1.9613317228439155,second_half
J1_2023_301,2023,2023-12-03,サガン鳥栖,川崎フロンターレ,0,1,1.1895975266798742,1.5651685812593554,second_half
J1_2023_302,2023,2023-12-03,京都サンガF.C.,横浜Ｆ・マリノス,3,1,0.7361087213518811,2.1537632475069057,second_half
J1_2023_303,2023,2023-12-03,北海道コンサドーレ札幌,浦和レッズ,0,2,0.9796259214367679,1.1282458358278842,second_half
J1_2023_304,2023,2023-12-03,名古屋グランパス,柏レイソル,1,1,1.2964204188852617,0.5530655848791063,second_half
J1_2023_305,2023,2023-12-03,湘南ベルマーレ,ＦＣ東京,0,1,1.6460039861232847,1.2404908398783323,second_half
J1_2023_306,2023,2023-12-03,鹿島アントラーズ,横浜ＦＣ,2,1,1.9083499261562715,0.8145081262054639,second_half
J1_2024_191,2024,2024-06-26,サンフレッチェ広島,アルビレックス新潟,1,1,2.0464524337051593,1.050655886709726,second_half
J1_2024_192,2024,2024-06-26,ジュビロ磐田,東京ヴェルディ,3,0,1.2571156487043396,1.2490206027543609,second_half
J1_2024_193,2024,2024-06-26,セレッソ大阪,サガン鳥栖,1,0,2.114438749022428,0.9876408583508083,second_half
J1_2024_194,2024,2024-06-26,ヴィッセル神戸,ＦＣ町田ゼルビア,0,0,0.5994490171049267,1.169552646316442,second_half
J1_2024_195,2024,2024-06-26,京都サンガF.C.,柏レイソル,2,2,1.028396437362394,1.5935083607638436,second_half
J1_2024_196,2024,2024-06-26,名古屋グランパス,浦和レッズ,0,1,1.1599336888821676,1.2703273104288124,second_half
J1_2024_197,2024,2024-06-26,川崎フロンターレ,湘南ベルマーレ,1,1,2.4350682102128927,1.113060726335042,second_half
J1_2024_198,2024,2024-06-26,鹿島アントラーズ,ガンバ大阪,0,0,1.1852844788455423,0.5544336417997516,second_half
J1_2024_199,2024,2024-06-26,ＦＣ東京,北海道コンサドーレ札幌,1,0,2.397949594183417,1.0360852849780922,second_half
J1_2024_200,2024,2024-06-29,北海道コンサドーレ札幌,アルビレックス新潟,0,1,0.9229869122832228,1.4963206414636623,second_half
J1_2024_201,2024,2024-06-29,川崎フロンターレ,サンフレッチェ広島,1,1,1.1773490960791495,1.1312061273246008,second_half
J1_2024_202,2024,2024-06-29,横浜Ｆ・マリノス,東京ヴェルディ,1,2,1.7567810978894356,1.1166315291129951,second_half
J1_2024_203,2024,2024-06-30,ガンバ大阪,ＦＣ町田ゼルビア,1,3,0.6994631430992054,1.1628005250662197,second_half
J1_2024_204,2024,2024-06-30,サガン鳥栖,柏レイソル,1,4,1.6108871384089511,1.0953832164885384,second_half
J1_2024_205,2024,2024-06-30,セレッソ大阪,名古屋グランパス,2,1,1.1693654339277233,1.254348030091371,second_half
J1_2024_206,2024,2024-06-30,ヴィッセル神戸,鹿島アントラーズ,3,1,1.1884302209547315,1.1282821466334247,second_half
J1_2024_207,2024,2024-06-30,浦和レッズ,ジュビロ磐田,3,0,1.8248878964911353,1.1325331499246774,second_half
J1_2024_208,2024,2024-06-30,湘南ベルマーレ,京都サンガF.C.,0,1,1.1209085056993051,0.9931511561780144,second_half
J1_2024_209,2024,2024-06-30,ＦＣ東京,アビスパ福岡,0,1,0.8745503953383397,1.218219159261174,second_half
J1_2024_210,2024,2024-07-03,横浜Ｆ・マリノス,サガン鳥栖,0,1,2.3780383146804636,0.8476872101602946,second_half
J1_2024_211,2024,2024-07-05,サンフレッチェ広島,ヴィッセル神戸,1,3,1.1383598176147087,1.2353796099607492,second_half
J1_2024_212,2024,2024-07-06,アルビレックス新潟,サガン鳥栖,3,4,1.8524555027785983,1.1695633638287715,second_half
J1_2024_213,2024,2024-07-06,ガンバ大阪,横浜Ｆ・マリノス,4,0,1.771384700372777,1.1367268588522677,second_half
J1_2024_214,2024,2024-07-06,ジュビロ磐田,川崎フロンターレ,2,2,1.3851799398296596,1.1008502635550597,second_half
J1_2024_215,2024,2024-07-06,東京ヴェルディ,セレッソ大阪,1,1,1.0139251916110141,1.1714339101395534,second_half
J1_2024_216,2024,2024-07-06,柏レイソル,ＦＣ東京,3,2,0.9314593331257176,1.4595562047105675,second_half
J1_2024_217,2024,2024-07-06,浦和レッズ,湘南ベルマーレ,2,3,2.142462981179458,1.0300275136237034,second_half
J1_2024_218,2024,2024-07-06,鹿島アントラーズ,北海道コンサドーレ札幌,2,0,2.7605697223431442,0.7296308725943772,second_half
J1_2024_219,2024,2024-07-06,ＦＣ町田ゼルビア,名古屋グランパス,1,0,1.3070053808269433,1.074624533954096,second_half
J1_2024_220,2024,2024-07-07,アビスパ福岡,京都サンガF.C.,1,2,0.9764323492962729,0.7202286093647259,second_half
J1_2024_221,2024,2024-07-13,北海道コンサドーレ札幌,ヴィッセル神戸,1,1,0.5134207840957177,1.759400041260422,second_half
J1_2024_222,2024,2024-07-13,ＦＣ東京,アルビレックス新潟,2,0,1.4045343877225884,1.3723070724409325,second_half
J1_2024_223,2024,2024-07-14,サガン鳥栖,ガンバ大阪,0,2,1.046714757815508,0.7840109632152391,second_half
J1_2024_224,2024,2024-07-14,サンフレッチェ広島,アビスパ福岡,1,0,1.2742484631080786,0.9326842050764239,second_half
J1_2024_225,2024,2024-07-14,京都サンガF.C.,浦和レッズ,0,0,1.138024205955491,2.1933564103672154,second_half
J1_2024_226,2024,2024-07-14,名古屋グランパス,柏レイソル,2,1,1.0481953432805058,0.9229130206595341,second_half
