rank,prev_setting_name,prev_weight,prev_decay,elo_mode,elo_lambda_weight,elo_update_every,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_prev060_decay0985_elo010_fixed,delta_vs_prev060_decay0985_elo020_fixed,rank_within_prev_setting,rank_within_update_every
11,prev060_decay0985,0.6,0.985,lambda_dynamic,0.05,3,2000,2.1840500000000005,4.648500000000001,8,5.028,2.9720000000000004,2,6.648500000000001,4.648500000000001,3,5.955000000000001,2.955000000000001,14,10.436499999999997,3.563500000000003,6,8.795499999999999,2.7954999999999988,16,12.6885,3.3115000000000006,15,17.524,2.524000000000001,11,15.484,4.484,0.011350000000000193,0.002000000000000224,11,3
12,prev060_decay0985,0.6,0.985,lambda_dynamic,0.0,0,2000,2.1866999999999996,4.727,8,4.926000000000001,3.073999999999999,2,6.727,4.727,3,5.834499999999999,2.8344999999999994,14,10.367,3.632999999999999,6,8.727,2.7270000000000003,16,12.613999999999999,3.386000000000001,15,17.5035,2.503499999999999,11,15.601499999999998,4.601499999999998,0.013999999999999346,0.004649999999999377,12,3
13,prev060_decay0985,0.6,0.985,lambda_dynamic,0.25,5,2000,2.1886,4.706499999999999,8,4.950500000000001,3.049499999999999,2,6.706499999999999,4.706499999999999,3,5.9745,2.9745,14,10.412000000000003,3.5879999999999974,6,8.751,2.7509999999999994,16,12.651,3.349,15,17.4525,2.4525000000000006,11,15.5785,4.5785,0.015899999999999803,0.006549999999999834,13,4
14,prev060_decay0985,0.6,0.985,lambda_dynamic,0.25,1,2000,2.18945,4.707999999999999,8,4.947500000000001,3.0524999999999993,2,6.707999999999999,4.707999999999999,3,5.975,2.9749999999999996,14,10.405500000000002,3.5944999999999983,6,8.750499999999999,2.750499999999999,16,12.655,3.3450000000000006,15,17.4485,2.4484999999999992,11,15.5775,4.577500000000001,0.0167499999999996,0.007399999999999629,14,4
15,prev060_decay0985,0.6,0.985,lambda_dynamic,0.15,0,2000,2.19,4.794,8,5.0235,2.9764999999999997,2,6.794,4.794,3,6.03,3.0300000000000002,14,10.354499999999998,3.645500000000002,6,8.658999999999999,2.658999999999999,16,12.673499999999997,3.326500000000003,15,17.5355,2.535499999999999,11,15.638,4.638,0.01729999999999965,0.00794999999999968,15,4
16,prev060_decay0985,0.6,0.985,lambda_dynamic,0.25,0,2000,2.191,4.7139999999999995,8,4.9990000000000006,3.0009999999999994,2,6.7139999999999995,4.7139999999999995,3,5.979500000000001,2.9795000000000007,14,10.393999999999998,3.6060000000000016,6,8.809000000000003,2.809000000000003,16,12.699,3.301,15,17.523999999999997,2.5239999999999974,11,15.5965,4.596500000000001,0.01829999999999954,0.00894999999999957,16,5
17,prev060_decay0985,0.6,0.985,lambda_dynamic,0.25,3,2000,2.193799999999999,4.757,8,4.876500000000001,3.123499999999999,2,6.757,4.757,3,6.022,3.0220000000000002,14,10.4505,3.5495,6,8.739999999999997,2.7399999999999967,16,12.6535,3.3465000000000007,15,17.5285,2.528500000000001,11,15.559000000000001,4.559000000000001,0.021099999999998786,0.011749999999998817,17,4
18,prev060_decay0985,0.6,0.985,lambda_dynamic,0.05,0,2000,2.1950499999999997,4.777,8,4.987000000000001,3.012999999999999,2,6.777,4.777,3,6.035000000000001,3.035000000000001,14,10.3985,3.6014999999999997,6,8.700499999999998,2.700499999999998,16,12.5775,3.4224999999999994,15,17.5385,2.538499999999999,11,15.5575,4.557499999999999,0.022349999999999426,0.012999999999999456,18,6
19,prev060_decay0985,0.6,0.985,lambda_dynamic,0.2,5,2000,2.1952000000000007,4.711499999999999,8,4.997999999999999,3.0020000000000007,2,6.711499999999999,4.711499999999999,3,5.9635,2.9635,14,10.347999999999999,3.652000000000001,6,8.78,2.7799999999999994,16,12.5415,3.458500000000001,15,17.4795,2.4795000000000016,11,15.548500000000002,4.548500000000002,0.02250000000000041,0.013150000000000439,19,5
20,prev060_decay0985,0.6,0.985,lambda_dynamic,0.2,1,2000,2.1964,4.736,8,4.9875,3.0125,2,6.736,4.736,3,5.968499999999999,2.968499999999999,14,10.345999999999998,3.6540000000000017,6,8.777499999999998,2.777499999999998,16,12.5405,3.4595000000000002,15,17.4785,2.4785000000000004,11,15.543500000000002,4.543500000000002,0.023699999999999832,0.014349999999999863,20,5
21,prev060_decay0985,0.6,0.985,lambda_dynamic,0.2,3,2000,2.198,4.741000000000001,8,4.9815,3.0185000000000004,2,6.741000000000001,4.741000000000001,3,5.9719999999999995,2.9719999999999995,14,10.346000000000002,3.653999999999998,6,8.777499999999996,2.7774999999999963,16,12.548499999999999,3.451500000000001,15,17.476000000000003,2.4760000000000026,11,15.5455,4.5455000000000005,0.025299999999999656,0.015949999999999687,21,5
22,prev040_decay0995,0.4,0.995,lambda_dynamic,0.2,0,2000,2.2052500000000004,4.7940000000000005,8,4.727499999999999,3.272500000000001,2,5.891,3.891,3,5.265000000000001,2.2650000000000006,14,10.374499999999998,3.6255000000000024,6,9.415500000000002,3.4155000000000015,16,12.030000000000001,3.969999999999999,15,17.8925,2.8924999999999983,11,15.794,4.7940000000000005,0.03255000000000008,0.02320000000000011,1,1
23,prev040_decay0995,0.4,0.995,lambda_dynamic,0.15,5,2000,2.2055,4.799999999999999,8,4.7765,3.2234999999999996,2,5.9819999999999975,3.9819999999999975,3,5.378499999999999,2.378499999999999,14,10.4745,3.525499999999999,6,9.385,3.385,16,12.1255,3.8744999999999994,15,17.8905,2.8904999999999994,11,15.799999999999999,4.799999999999999,0.032799999999999496,0.023449999999999527,2,1
24,prev040_decay0995,0.4,0.995,lambda_dynamic,0.25,5,2000,2.20665,4.780000000000001,8,4.808000000000001,3.1919999999999993,2,5.974500000000001,3.974500000000001,3,5.3945,2.3945,14,10.2825,3.7174999999999994,6,9.421000000000001,3.421000000000001,16,12.0285,3.9715000000000007,15,17.8375,2.8374999999999986,11,15.780000000000001,4.780000000000001,0.03394999999999948,0.02459999999999951,3,2
25,prev040_decay0995,0.4,0.995,lambda_dynamic,0.15,1,2000,2.2081000000000004,4.768000000000001,8,4.772,3.2279999999999998,2,6.043,4.043,3,5.317000000000002,2.317000000000002,14,10.2505,3.7494999999999994,6,9.415499999999998,3.415499999999998,16,12.071499999999999,3.9285000000000014,15,17.872999999999998,2.8729999999999976,11,15.768,4.768000000000001,0.0354000000000001,0.02605000000000013,4,1
26,prev040_decay0995,0.4,0.995,lambda_dynamic,0.25,3,2000,2.2084999999999995,4.787000000000001,8,4.801500000000001,3.1984999999999992,2,5.9675,3.9675000000000002,3,5.4045000000000005,2.4045000000000005,14,10.287500000000001,3.7124999999999986,6,9.423499999999999,3.423499999999999,16,12.0295,3.9704999999999995,15,17.839,2.8389999999999986,11,15.787,4.787000000000001,0.035799999999999166,0.026449999999999196,5,1
27,prev040_decay0995,0.4,0.995,lambda_dynamic,0.05,0,2000,2.2085,4.7925,8,4.8215,3.1784999999999997,2,6.039,4.039,3,5.359,2.359,14,10.449499999999999,3.5505000000000013,6,9.354000000000001,3.354000000000001,16,12.062000000000001,3.937999999999999,15,17.856,2.8560000000000016,11,15.7925,4.7925,0.03579999999999961,0.02644999999999964,6,2
28,prev040_decay0995,0.4,0.995,lambda_dynamic,0.25,1,2000,2.2085999999999992,4.785500000000001,8,4.805,3.1950000000000003,2,5.9665,3.9665,3,5.4060000000000015,2.4060000000000015,14,10.283000000000003,3.716999999999997,6,9.4245,3.4245,16,12.026,3.974,15,17.838500000000003,2.8385000000000034,11,15.7855,4.785500000000001,0.03589999999999893,0.026549999999998963,7,2
29,prev040_decay0995,0.4,0.995,lambda_dynamic,0.1,0,2000,2.2088,4.905999999999999,8,4.8085,3.1914999999999996,2,5.9925,3.9924999999999997,3,5.312500000000001,2.312500000000001,14,10.374,3.6259999999999994,6,9.395499999999998,3.3954999999999984,16,12.0895,3.9105000000000008,15,17.838,2.838000000000001,11,15.905999999999999,4.905999999999999,0.0360999999999998,0.02674999999999983,8,3
30,prev040_decay0995,0.4,0.995,lambda_dynamic,0.15,3,2000,2.2109000000000005,4.8185,8,4.748500000000001,3.251499999999999,2,6.0025,4.0025,3,5.349000000000001,2.349000000000001,14,10.418499999999998,3.581500000000002,6,9.399999999999999,3.3999999999999986,16,12.124999999999998,3.8750000000000018,15,17.82,2.8200000000000003,11,15.8185,4.8185,0.038200000000000234,0.028850000000000264,9,2
31,prev040_decay0995,0.4,0.995,lambda_dynamic,0.1,1,2000,2.2125499999999994,4.904,8,4.767999999999999,3.232000000000001,2,6.001499999999999,4.001499999999999,3,5.400000000000002,2.400000000000002,14,10.3215,3.6784999999999997,6,9.348499999999996,3.348499999999996,16,12.155000000000003,3.844999999999997,15,17.900499999999997,2.9004999999999974,11,15.904,4.904,0.03984999999999905,0.030499999999999083,10,3
