date,home,away,home_goals,away_goals,home_shots_official,away_shots_official,home_ck,away_ck,home_fk,away_fk,home_first_half_goals,away_first_half_goals,home_second_half_goals,away_second_half_goals,home_livetxt,away_livetxt,home_shots_livetxt,away_shots_livetxt,home_shots_on_target,away_shots_on_target,home_xg,away_xg,livetxt_found,url
2024-05-03,横浜FM,磐田,1,1,18,10,9,6,15,18,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050302/live/
2024-05-03,新潟,広島,1,1,6,12,3,6,15,13,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050303/live/
2024-05-03,鹿島,湘南,3,1,9,11,8,5,17,9,0,0,3,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050304/live/
2024-05-03,FC東京,京都,2,1,8,11,7,9,16,14,2,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050305/live/
2024-05-03,町田,柏,2,0,9,3,8,4,10,19,1,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050306/live/
2024-05-03,C大阪,札幌,1,1,8,9,3,4,18,18,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050307/live/
2024-05-03,鳥栖,東京V,0,2,8,9,5,4,15,10,0,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050308/live/
2024-05-03,川崎F,浦和,3,1,14,13,7,11,11,11,1,1,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050309/live/
2024-05-03,福岡,G大阪,1,0,8,4,3,6,15,19,1,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050310/live/
2024-05-03,名古屋,神戸,0,2,8,9,7,4,14,16,0,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050311/live/
2024-05-06,東京V,磐田,3,2,14,9,12,1,19,15,2,0,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050601/live/
2024-05-06,神戸,新潟,3,2,15,9,6,4,10,10,2,0,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050602/live/
2024-05-06,G大阪,C大阪,1,0,16,7,3,6,6,16,1,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050603/live/
2024-05-06,札幌,FC東京,1,2,9,10,3,2,11,17,1,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050604/live/
2024-05-06,京都,町田,0,3,5,16,1,8,12,18,0,1,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050605/live/
2024-05-06,福岡,川崎F,1,1,9,9,6,6,7,15,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050606/live/
2024-05-06,広島,名古屋,2,3,15,8,7,0,16,16,1,2,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050607/live/
2024-05-06,柏,鹿島,1,2,11,12,5,4,10,12,0,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050608/live/
2024-05-06,湘南,鳥栖,2,1,11,11,4,7,13,12,1,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050609/live/
2024-05-06,浦和,横浜FM,2,1,15,8,8,5,13,11,1,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/050610/live/
2024-05-11,新潟,浦和,2,4,14,9,6,1,7,15,0,1,2,3,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051101/live/
2024-05-11,磐田,鳥栖,0,3,12,9,8,5,18,15,0,1,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051102/live/
2024-05-11,京都,福岡,2,3,7,9,11,1,22,14,1,1,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051103/live/
2024-05-11,FC東京,柏,3,3,8,13,5,5,13,7,3,1,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051104/live/
2024-05-11,川崎F,札幌,3,0,15,16,4,4,15,16,3,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051105/live/
2024-05-11,湘南,町田,0,0,15,8,6,3,21,23,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051106/live/
2024-05-11,名古屋,G大阪,0,1,3,7,7,2,20,13,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051107/live/
2024-05-11,C大阪,神戸,1,4,11,15,6,4,10,13,0,2,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051108/live/
2024-05-12,鹿島,東京V,3,3,6,12,5,3,16,17,2,0,1,3,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051201/live/
2024-05-15,札幌,磐田,1,0,11,7,9,4,18,21,1,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051501/live/
2024-05-15,柏,湘南,2,1,9,12,4,5,11,8,0,0,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051502/live/
2024-05-15,東京V,G大阪,0,0,10,3,3,3,18,16,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051503/live/
2024-05-15,町田,C大阪,2,1,13,11,8,4,7,15,0,0,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051504/live/
2024-05-15,新潟,横浜FM,3,1,17,13,6,9,17,13,0,1,3,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051505/live/
2024-05-15,名古屋,FC東京,3,1,8,11,3,3,10,13,1,0,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051506/live/
2024-05-15,神戸,福岡,1,0,11,13,6,6,11,8,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051507/live/
2024-05-15,広島,鹿島,1,3,13,10,9,3,18,15,0,2,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051508/live/
2024-05-15,鳥栖,川崎F,5,2,11,13,4,7,9,6,3,2,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051509/live/
2024-05-15,浦和,京都,3,0,15,7,9,6,20,7,1,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051510/live/
2024-05-18,福岡,C大阪,0,3,8,13,3,4,15,17,0,2,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051801/live/
2024-05-18,鳥栖,名古屋,0,2,5,16,2,7,19,17,0,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051802/live/
2024-05-19,町田,東京V,5,0,11,6,5,1,11,14,2,0,3,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051901/live/
2024-05-19,磐田,浦和,1,1,8,13,3,5,11,14,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051902/live/
2024-05-19,京都,広島,0,5,2,15,2,2,23,15,0,3,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051903/live/
2024-05-19,鹿島,神戸,1,0,7,9,6,8,15,12,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051904/live/
2024-05-19,FC東京,横浜FM,1,1,11,13,4,6,15,14,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051905/live/
2024-05-19,G大阪,川崎F,3,1,7,14,3,7,9,15,1,1,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051906/live/
2024-05-19,柏,札幌,2,1,8,7,3,6,14,6,1,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051907/live/
2024-05-19,湘南,新潟,2,1,8,9,3,9,7,17,1,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/051908/live/
2024-05-25,札幌,鹿島,0,3,8,15,2,2,8,13,0,1,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052501/live/
2024-05-25,磐田,湘南,3,2,8,5,2,6,28,16,1,2,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052502/live/
2024-05-25,川崎F,柏,1,1,5,13,2,5,9,19,1,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052503/live/
2024-05-25,新潟,福岡,1,2,6,6,6,5,14,6,0,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052505/live/
2024-05-26,神戸,東京V,0,1,11,7,9,2,9,7,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052601/live/
2024-05-26,FC東京,G大阪,0,1,8,9,4,5,7,15,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052602/live/
2024-05-26,名古屋,京都,1,1,7,6,4,2,15,12,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052603/live/
2024-05-26,C大阪,広島,1,1,9,10,8,11,22,11,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052604/live/
2024-05-26,浦和,町田,1,2,6,7,5,5,13,13,0,0,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052605/live/
2024-05-29,横浜FM,柏,4,0,18,14,1,3,15,16,2,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/052901/live/
2024-05-31,鳥栖,FC東京,0,1,6,9,8,4,9,11,0,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/053101/live/
2024-06-01,広島,磐田,2,0,12,8,5,2,15,17,1,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060101/live/
2024-06-01,鹿島,横浜FM,3,2,13,16,4,4,15,19,0,1,3,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060102/live/
2024-06-01,町田,新潟,1,3,11,7,6,2,8,16,1,2,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060103/live/
2024-06-01,湘南,G大阪,1,2,12,3,9,0,17,16,0,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060104/live/
2024-06-01,浦和,神戸,1,1,15,12,5,8,17,12,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060105/live/
2024-06-01,京都,C大阪,1,1,13,7,5,5,13,11,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060106/live/
2024-06-02,東京V,札幌,5,3,12,7,1,2,13,6,3,1,2,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060201/live/
2024-06-02,川崎F,名古屋,2,1,10,17,9,7,12,16,2,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060202/live/
2024-06-02,柏,福岡,0,2,16,3,7,3,11,10,0,2,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/060203/live/
2024-06-15,横浜FM,町田,1,3,8,13,3,7,20,15,1,1,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061501/live/
2024-06-15,広島,東京V,4,1,21,10,7,1,15,14,1,0,3,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061502/live/
2024-06-15,京都,札幌,2,0,9,11,3,6,14,13,2,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061503/live/
2024-06-15,C大阪,浦和,2,1,9,5,3,3,11,6,1,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061504/live/
2024-06-16,神戸,川崎F,1,0,13,3,5,2,8,12,1,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061601/live/
2024-06-16,福岡,鳥栖,2,0,14,5,4,3,7,15,1,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061602/live/
2024-06-16,鹿島,新潟,1,1,8,13,2,3,8,14,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061603/live/
2024-06-16,FC東京,磐田,1,1,12,7,8,3,26,16,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061604/live/
2024-06-16,名古屋,湘南,1,1,6,12,5,5,17,13,1,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061605/live/
2024-06-16,G大阪,柏,2,1,10,16,3,10,9,11,2,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061606/live/
2024-06-19,横浜FM,広島,3,2,15,8,5,4,10,12,1,1,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/061902/live/
2024-06-22,町田,福岡,0,0,7,7,5,4,18,9,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/062201/live/
2024-06-22,東京V,名古屋,1,0,7,13,7,11,9,12,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/062202/live/
