team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
京都サンガF.C.,ヴィッセル神戸,26,14,2,10,41,37,13,4,0.5384615384615384,0.07692307692307693,0.38461538461538464,44,1.6923076923076923
京都サンガF.C.,サンフレッチェ広島,26,8,3,15,24,48,13,-24,0.3076923076923077,0.11538461538461539,0.5769230769230769,27,1.0384615384615385
京都サンガF.C.,清水エスパルス,26,4,4,18,22,44,13,-22,0.15384615384615385,0.15384615384615385,0.6923076923076923,16,0.6153846153846154
京都サンガF.C.,ジュビロ磐田,26,4,2,20,26,65,13,-39,0.15384615384615385,0.07692307692307693,0.7692307692307693,14,0.5384615384615384
京都サンガF.C.,柏レイソル,25,3,7,15,25,36,12,-11,0.12,0.28,0.6,16,0.64
京都サンガF.C.,ＦＣ東京,22,8,5,9,28,25,11,3,0.36363636363636365,0.22727272727272727,0.4090909090909091,29,1.3181818181818181
京都サンガF.C.,セレッソ大阪,22,6,5,11,32,41,11,-9,0.2727272727272727,0.22727272727272727,0.5,23,1.0454545454545454
京都サンガF.C.,アビスパ福岡,20,9,1,10,30,36,10,-6,0.45,0.05,0.5,28,1.4
京都サンガF.C.,ジェフユナイテッド千葉,20,6,1,13,28,44,10,-16,0.3,0.05,0.65,19,0.95
京都サンガF.C.,東京ヴェルディ,19,9,4,6,27,25,9,2,0.47368421052631576,0.21052631578947367,0.3157894736842105,31,1.631578947368421
京都サンガF.C.,川崎フロンターレ,18,6,3,9,24,33,9,-9,0.3333333333333333,0.16666666666666666,0.5,21,1.1666666666666667
京都サンガF.C.,湘南ベルマーレ,17,6,3,8,19,21,9,-2,0.35294117647058826,0.17647058823529413,0.47058823529411764,21,1.2352941176470589
京都サンガF.C.,アルビレックス新潟,14,6,3,5,14,14,7,0,0.42857142857142855,0.21428571428571427,0.35714285714285715,21,1.5
京都サンガF.C.,北海道コンサドーレ札幌,12,8,0,4,18,12,6,6,0.6666666666666666,0.0,0.3333333333333333,24,2.0
京都サンガF.C.,大宮アルディージャ,8,1,2,5,7,13,4,-6,0.125,0.25,0.625,5,0.625
京都サンガF.C.,大分トリニータ,8,0,3,5,4,10,4,-6,0.0,0.375,0.625,3,0.375
京都サンガF.C.,ベガルタ仙台,6,4,0,2,8,7,3,1,0.6666666666666666,0.0,0.3333333333333333,12,2.0
京都サンガF.C.,サガン鳥栖,6,3,0,3,10,10,3,0,0.5,0.0,0.5,9,1.5
京都サンガF.C.,横浜フリューゲルス,6,2,0,4,6,10,3,-4,0.3333333333333333,0.0,0.6666666666666666,6,1.0
京都サンガF.C.,横浜ＦＣ,4,4,0,0,9,3,2,6,1.0,0.0,0.0,12,3.0
京都サンガF.C.,モンテディオ山形,4,1,1,2,2,3,2,-1,0.25,0.25,0.5,4,1.0
京都サンガF.C.,ＦＣ町田ゼルビア,4,1,1,2,3,6,2,-3,0.25,0.25,0.5,4,1.0
京都サンガF.C.,ファジアーノ岡山,2,1,0,1,5,2,1,3,0.5,0.0,0.5,3,1.5
京都サンガF.C.,ヴァンフォーレ甲府,2,0,1,1,2,4,1,-2,0.0,0.5,0.5,1,0.5
京都サンガF.C.,"北海道コンサドーレ札幌 3 (4) Result (5) 3 湘南ベルマーレ 観客:11,518 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 越山 賢一 1998.04.25 ガンバ大阪",1,1,0,0,1,0,0,1,1.0,0.0,0.0,3,3.0
