year,date,home,away,home_goal,away_goal,home_raw,away_raw,source_url
1993,1993-07-31,"浦和レッズ 0 (4) Result (2) 0 横浜Ｆ・マリノス 観客:9,375 S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 舘 喜一郎 1993.07.31 鹿島アントラーズ 1 (5) Result (3) 1 名古屋グランパス 観客:14,747 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y R Y Y Y Y Y Y Referee: マーティン ボデナム 1993.07.31 東京ヴェルディ",ガンバ大阪,2,0,"浦和レッズ 0 (4) Result (2) 0 横浜Ｆ・マリノス 観客:9,375 S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 舘 喜一郎 1993.07.31 鹿島アントラーズ 1 (5) Result (3) 1 名古屋グランパス 観客:14,747 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y R Y Y Y Y Y Y Referee: マーティン ボデナム 1993.07.31 東京ヴェルディ",ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-31,清水エスパルス,サンフレッチェ広島,2,1,清水エスパルス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-04,ガンバ大阪,浦和レッズ,0,1,ガンバ大阪,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-04,サンフレッチェ広島,横浜フリューゲルス,3,0,サンフレッチェ広島,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-04,ジェフユナイテッド千葉,名古屋グランパス,5,2,ジェフユナイテッド千葉,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-04,東京ヴェルディ,鹿島アントラーズ,2,1,東京ヴェルディ,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-04,横浜Ｆ・マリノス,清水エスパルス,0,4,横浜Ｆ・マリノス,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-07,東京ヴェルディ,ジェフユナイテッド千葉,2,1,東京ヴェルディ,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-07,横浜フリューゲルス,清水エスパルス,0,1,横浜フリューゲルス,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-07,"横浜Ｆ・マリノス 1 (8) Result (7) 1 鹿島アントラーズ 観客:14,152 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 山田 等 1993.08.07 名古屋グランパス",浦和レッズ,4,1,"横浜Ｆ・マリノス 1 (8) Result (7) 1 鹿島アントラーズ 観客:14,152 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 山田 等 1993.08.07 名古屋グランパス",浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-08,サンフレッチェ広島,ガンバ大阪,0,2,サンフレッチェ広島,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-14,ガンバ大阪,横浜Ｆ・マリノス,2,1,ガンバ大阪,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-14,名古屋グランパス,清水エスパルス,0,1,名古屋グランパス,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-14,東京ヴェルディ,サンフレッチェ広島,3,0,東京ヴェルディ,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-14,浦和レッズ,ジェフユナイテッド千葉,2,3,浦和レッズ,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
