year,cutoff_matches,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,cutoff_mode,min_team_games_at_cutoff,max_team_games_at_cutoff,avg_team_games_at_cutoff,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_future_draw_rate,sim_goals_per_match,actual_future_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2024,5,0.3,20,380,59,321,0.15526315789473685,2024-04-03,all_teams_at_least,5,6,5.9,1.2881355932203389,1.1864406779661016,13513,2.73195,0.10901999999999998,0.2672470404984424,0.26791277258566976,2.4133292834890967,2.691588785046729,1.2459832136014917,1.1680487153724237,2.4140319289739156,1.0021628752539187,64.7335046728972
2025,5,0.3,20,380,58,322,0.15263157894736842,2025-03-16,all_teams_at_least,5,6,5.8,1.1379310344827587,0.9310344827586207,14083,4.065239999999999,0.094415,0.3030049689440994,0.2484472049689441,2.0279273291925466,2.453416149068323,1.0572701426300555,0.9717176579346011,2.0289878005646567,0.9996413598801211,54.468627329192515
2023,10,0.0,18,306,106,200,0.3464052287581699,2023-05-10,all_teams_at_least,10,12,11.777777777777779,1.349056603773585,1.3018867924528301,12424,1.3053777777777777,0.21031666666666668,0.244247,0.255,2.6371775,2.46,1.3495168693789157,1.2883303455825645,2.63784721496148,1.0,83.10734499999998
2024,10,0.0,20,380,109,271,0.2868421052631579,2024-05-03,all_teams_at_least,10,11,10.9,1.2660550458715596,1.1376146788990826,13513,2.63524,0.11548999999999998,0.2742391143911439,0.25461254612546125,2.330249077490775,2.7601476014760147,1.2110868459346682,1.1193287712248656,2.3304156171595336,1.0,68.28860147601475
2025,10,0.0,20,380,112,268,0.29473684210526313,2025-04-20,all_teams_at_least,10,12,11.2,1.2232142857142858,0.9464285714285714,14083,3.0787299999999997,0.100685,0.2955108208955224,0.24253731343283583,2.107039179104478,2.4888059701492535,1.1876121889536462,0.9189574144532942,2.1065696034069408,1.0,54.666656716417904
2023,10,0.05,18,306,106,200,0.3464052287581699,2023-05-10,all_teams_at_least,10,12,11.777777777777779,1.349056603773585,1.3018867924528301,12424,1.3083444444444443,0.21244444444444446,0.2428845,0.255,2.6459625,2.46,1.3530013642552603,1.2931253568006538,2.646126721055914,1.0001353195307552,83.10734499999998
2024,10,0.05,20,380,109,271,0.2868421052631579,2024-05-03,all_teams_at_least,10,11,10.9,1.2660550458715596,1.1376146788990826,13513,2.64684,0.116195,0.2733328413284133,0.25461254612546125,2.336709225092251,2.7601476014760147,1.2136143266259563,1.1223979863449636,2.3360123129709196,0.9999950355802634,68.28860147601475
2025,10,0.05,20,380,112,268,0.29473684210526313,2025-04-20,all_teams_at_least,10,12,11.2,1.2232142857142858,0.9464285714285714,14083,3.0615900000000003,0.10108500000000001,0.2948231343283582,0.24253731343283583,2.1116723880597017,2.4888059701492535,1.189139269306208,0.9208148768431286,2.1099541461493363,1.0000239270179005,54.666656716417904
2023,10,0.1,18,306,106,200,0.3464052287581699,2023-05-10,all_teams_at_least,10,12,11.777777777777779,1.349056603773585,1.3018867924528301,12424,1.3216888888888891,0.2122611111111111,0.241197,0.255,2.6561915,2.46,1.3566999744659187,1.2981279474912708,2.6548279219571898,1.0004302626318713,83.10734499999998
2024,10,0.1,20,380,109,271,0.2868421052631579,2024-05-03,all_teams_at_least,10,11,10.9,1.2660550458715596,1.1376146788990826,13513,2.6280200000000002,0.11779499999999998,0.2718420664206642,0.25461254612546125,2.3411667896678967,2.7601476014760147,1.2162728173594446,1.125571023397695,2.3418438407571394,1.0000941298205384,68.28860147601475
