year,cutoff_matches,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,cutoff_mode,min_team_games_at_cutoff,max_team_games_at_cutoff,avg_team_games_at_cutoff,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_future_draw_rate,sim_goals_per_match,actual_future_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2024,20,0.1,20,380,209,171,0.55,2024-06-30,all_teams_at_least,20,21,20.9,1.354066985645933,1.2248803827751196,13513,2.7769900000000005,0.076225,0.2531672514619883,0.2573099415204678,2.54962865497076,2.7309941520467835,1.3392089274698638,1.2106319171480113,2.5498408446178744,1.0005398095568359,83.34624561403506
2025,20,0.1,20,380,207,173,0.5447368421052632,2025-06-22,all_teams_at_least,20,22,20.7,1.2463768115942029,1.0531400966183575,14083,2.0005,0.13752999999999999,0.277550289017341,0.26011560693641617,2.2440404624277455,2.508670520231214,1.2267895042576586,1.018398371192405,2.2451878754500636,1.0007155125955671,68.1037456647399
2023,20,0.15,18,306,188,118,0.6143790849673203,2023-07-16,all_teams_at_least,20,21,20.88888888888889,1.377659574468085,1.2287234042553192,12424,1.9739888888888888,0.1665611111111111,0.24527457627118643,0.2711864406779661,2.5834550847457627,2.3728813559322033,1.380216162533156,1.2024659540331908,2.582682116566347,1.0019844616498266,92.84555084745763
2024,20,0.15,20,380,209,171,0.55,2024-06-30,all_teams_at_least,20,21,20.9,1.354066985645933,1.2248803827751196,13513,2.7860000000000005,0.074325,0.25183333333333335,0.2573099415204678,2.5574614035087717,2.7309941520467835,1.3444657593467562,1.2142920876661025,2.558757847012859,1.0010533527351646,83.34624561403506
2025,20,0.15,20,380,207,173,0.5447368421052632,2025-06-22,all_teams_at_least,20,22,20.7,1.2463768115942029,1.0531400966183575,14083,2.0132700000000003,0.138555,0.27554971098265896,0.26011560693641617,2.251376878612717,2.508670520231214,1.2294360643635474,1.020937985434825,2.2503740497983724,1.0012311675426964,68.1037456647399
2023,20,0.2,18,306,188,118,0.6143790849673203,2023-07-16,all_teams_at_least,20,21,20.88888888888889,1.377659574468085,1.2287234042553192,12424,1.9730888888888893,0.16598333333333334,0.24346779661016948,0.2711864406779661,2.592914406779661,2.3728813559322033,1.3859015935702055,1.2081272518935688,2.5940288454637748,1.0030456410195177,92.84555084745763
2024,20,0.2,20,380,209,171,0.55,2024-06-30,all_teams_at_least,20,21,20.9,1.354066985645933,1.2248803827751196,13513,2.7829500000000005,0.07396,0.24961111111111112,0.2573099415204678,2.5657748538011695,2.7309941520467835,1.3493791690497208,1.2181537168209977,2.567532885870719,1.0017299184191992,83.34624561403506
2025,20,0.2,20,380,207,173,0.5447368421052632,2025-06-22,all_teams_at_least,20,22,20.7,1.2463768115942029,1.0531400966183575,14083,2.01129,0.13916,0.27420635838150287,0.26011560693641617,2.2554028901734102,2.508670520231214,1.2322164594995104,1.0235930279549668,2.2558094874544774,1.0018522466830997,68.1037456647399
2023,20,0.3,18,306,188,118,0.6143790849673203,2023-07-16,all_teams_at_least,20,21,20.88888888888889,1.377659574468085,1.2287234042553192,12424,1.9933444444444446,0.16352222222222224,0.23945084745762713,0.2711864406779661,2.6185203389830507,2.3728813559322033,1.3977131209922828,1.2203366980244532,2.6180498190167363,1.0057658631113384,92.84555084745763
2024,20,0.3,20,380,209,171,0.55,2024-06-30,all_teams_at_least,20,21,20.9,1.354066985645933,1.2248803827751196,13513,2.7851299999999997,0.07374,0.24587894736842106,0.2573099415204678,2.588095321637427,2.7309941520467835,1.3598879082716413,1.2264864472828176,2.586374355554459,1.003574313703032,83.34624561403506
2025,20,0.3,20,380,207,173,0.5447368421052632,2025-06-22,all_teams_at_least,20,22,20.7,1.2463768115942029,1.0531400966183575,14083,2.0326299999999997,0.139115,0.27206589595375724,0.26011560693641617,2.266708092485549,2.508670520231214,1.2381814645166724,1.0292521392499394,2.267433603766612,1.003411306300671,68.1037456647399
