team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
湘南ベルマーレ,清水エスパルス,34,8,6,20,41,73,17,-32,0.23529411764705882,0.17647058823529413,0.5882352941176471,30,0.8823529411764706
湘南ベルマーレ,セレッソ大阪,32,11,4,17,42,58,16,-16,0.34375,0.125,0.53125,37,1.15625
湘南ベルマーレ,柏レイソル,32,9,4,19,45,57,16,-12,0.28125,0.125,0.59375,31,0.96875
湘南ベルマーレ,ジュビロ磐田,30,12,4,14,42,48,15,-6,0.4,0.13333333333333333,0.4666666666666667,40,1.3333333333333333
湘南ベルマーレ,ヴィッセル神戸,28,9,8,11,31,38,14,-7,0.32142857142857145,0.2857142857142857,0.39285714285714285,35,1.25
湘南ベルマーレ,ＦＣ東京,24,5,5,14,22,35,12,-13,0.20833333333333334,0.20833333333333334,0.5833333333333334,20,0.8333333333333334
湘南ベルマーレ,川崎フロンターレ,24,4,7,13,29,48,12,-19,0.16666666666666666,0.2916666666666667,0.5416666666666666,19,0.7916666666666666
湘南ベルマーレ,サガン鳥栖,20,8,7,5,29,25,10,4,0.4,0.35,0.25,31,1.55
湘南ベルマーレ,アビスパ福岡,20,5,6,9,19,25,10,-6,0.25,0.3,0.45,21,1.05
湘南ベルマーレ,東京ヴェルディ,20,7,0,13,24,35,10,-11,0.35,0.0,0.65,21,1.05
湘南ベルマーレ,京都サンガF.C.,18,8,3,7,21,20,9,1,0.4444444444444444,0.16666666666666666,0.3888888888888889,27,1.5
湘南ベルマーレ,ジェフユナイテッド千葉,16,7,0,9,27,30,8,-3,0.4375,0.0,0.5625,21,1.3125
湘南ベルマーレ,ベガルタ仙台,16,5,5,6,16,18,8,-2,0.3125,0.3125,0.375,20,1.25
湘南ベルマーレ,北海道コンサドーレ札幌,16,4,6,6,21,30,8,-9,0.25,0.375,0.375,18,1.125
湘南ベルマーレ,アルビレックス新潟,14,5,2,7,23,25,7,-2,0.35714285714285715,0.14285714285714285,0.5,17,1.2142857142857142
湘南ベルマーレ,横浜フリューゲルス,14,5,0,9,17,27,7,-10,0.35714285714285715,0.0,0.6428571428571429,15,1.0714285714285714
湘南ベルマーレ,大分トリニータ,8,3,1,4,10,11,4,-1,0.375,0.125,0.5,10,1.25
湘南ベルマーレ,横浜ＦＣ,8,3,1,4,8,11,4,-3,0.375,0.125,0.5,10,1.25
湘南ベルマーレ,ヴァンフォーレ甲府,6,3,0,3,5,7,3,-2,0.5,0.0,0.5,9,1.5
湘南ベルマーレ,大宮アルディージャ,6,0,0,6,4,13,3,-9,0.0,0.0,1.0,0,0.0
湘南ベルマーレ,ＦＣ町田ゼルビア,4,2,1,1,3,2,2,1,0.5,0.25,0.25,7,1.75
湘南ベルマーレ,松本山雅ＦＣ,4,1,3,0,6,5,2,1,0.25,0.75,0.0,6,1.5
湘南ベルマーレ,モンテディオ山形,4,1,2,1,4,4,2,0,0.25,0.5,0.25,5,1.25
湘南ベルマーレ,Ｖ・ファーレン長崎,2,2,0,0,5,2,1,3,1.0,0.0,0.0,6,3.0
湘南ベルマーレ,ファジアーノ岡山,2,0,1,1,1,2,1,-1,0.0,0.5,0.5,1,0.5
湘南ベルマーレ,徳島ヴォルティス,2,0,1,1,1,2,1,-1,0.0,0.5,0.5,1,0.5
鹿島アントラーズ,横浜Ｆ・マリノス,72,36,8,28,113,104,36,9,0.5,0.1111111111111111,0.3888888888888889,116,1.6111111111111112
鹿島アントラーズ,名古屋グランパス,70,40,6,24,128,85,35,43,0.5714285714285714,0.08571428571428572,0.34285714285714286,126,1.8
鹿島アントラーズ,ガンバ大阪,70,35,15,20,115,81,35,34,0.5,0.21428571428571427,0.2857142857142857,120,1.7142857142857142
鹿島アントラーズ,浦和レッズ,70,34,17,19,99,75,35,24,0.4857142857142857,0.24285714285714285,0.2714285714285714,119,1.7
鹿島アントラーズ,サンフレッチェ広島,68,32,12,24,98,86,34,12,0.47058823529411764,0.17647058823529413,0.35294117647058826,108,1.588235294117647
鹿島アントラーズ,清水エスパルス,66,33,8,25,105,86,33,19,0.5,0.12121212121212122,0.3787878787878788,107,1.621212121212121
鹿島アントラーズ,柏レイソル,58,34,8,16,105,75,29,30,0.5862068965517241,0.13793103448275862,0.27586206896551724,110,1.896551724137931
鹿島アントラーズ,ジュビロ磐田,56,31,12,13,98,68,28,30,0.5535714285714286,0.21428571428571427,0.23214285714285715,105,1.875
鹿島アントラーズ,ヴィッセル神戸,54,29,11,14,93,57,27,36,0.5370370370370371,0.2037037037037037,0.25925925925925924,98,1.8148148148148149
鹿島アントラーズ,セレッソ大阪,52,30,7,15,73,46,26,27,0.5769230769230769,0.1346153846153846,0.28846153846153844,97,1.8653846153846154
鹿島アントラーズ,ＦＣ東京,50,27,10,13,89,65,25,24,0.54,0.2,0.26,91,1.82
鹿島アントラーズ,川崎フロンターレ,44,12,8,24,64,79,22,-15,0.2727272727272727,0.18181818181818182,0.5454545454545454,44,1.0
鹿島アントラーズ,ジェフユナイテッド千葉,40,27,2,11,84,48,20,36,0.675,0.05,0.275,83,2.075
鹿島アントラーズ,湘南ベルマーレ,40,25,3,12,73,46,20,27,0.625,0.075,0.3,78,1.95
鹿島アントラーズ,東京ヴェルディ,38,21,2,15,61,55,19,6,0.5526315789473685,0.05263157894736842,0.39473684210526316,65,1.7105263157894737
鹿島アントラーズ,アルビレックス新潟,34,18,9,7,65,37,17,28,0.5294117647058824,0.2647058823529412,0.20588235294117646,63,1.8529411764705883
鹿島アントラーズ,京都サンガF.C.,30,18,6,6,59,27,15,32,0.6,0.2,0.2,60,2.0
鹿島アントラーズ,アビスパ福岡,28,19,5,4,55,21,14,34,0.6785714285714286,0.17857142857142858,0.14285714285714285,62,2.2142857142857144
鹿島アントラーズ,ベガルタ仙台,28,18,3,7,47,24,14,23,0.6428571428571429,0.10714285714285714,0.25,57,2.0357142857142856
鹿島アントラーズ,北海道コンサドーレ札幌,26,18,5,3,57,18,13,39,0.6923076923076923,0.19230769230769232,0.11538461538461539,59,2.269230769230769
鹿島アントラーズ,サガン鳥栖,26,12,6,8,37,26,13,11,0.46153846153846156,0.23076923076923078,0.3076923076923077,42,1.6153846153846154
鹿島アントラーズ,大宮アルディージャ,24,13,7,4,34,20,12,14,0.5416666666666666,0.2916666666666667,0.16666666666666666,46,1.9166666666666667
鹿島アントラーズ,大分トリニータ,22,12,6,4,32,17,11,15,0.5454545454545454,0.2727272727272727,0.18181818181818182,42,1.9090909090909092
鹿島アントラーズ,横浜フリューゲルス,18,9,0,9,33,31,9,2,0.5,0.0,0.5,27,1.5
鹿島アントラーズ,ヴァンフォーレ甲府,16,9,3,4,25,12,8,13,0.5625,0.1875,0.25,30,1.875
鹿島アントラーズ,横浜ＦＣ,10,8,0,2,20,9,5,11,0.8,0.0,0.2,24,2.4
鹿島アントラーズ,モンテディオ山形,8,5,3,0,17,6,4,11,0.625,0.375,0.0,18,2.25
鹿島アントラーズ,徳島ヴォルティス,4,4,0,0,10,0,2,10,1.0,0.0,0.0,12,3.0
鹿島アントラーズ,松本山雅ＦＣ,4,2,1,1,9,4,2,5,0.5,0.25,0.25,7,1.75
鹿島アントラーズ,ＦＣ町田ゼルビア,4,2,0,2,5,4,2,1,0.5,0.0,0.5,6,1.5
鹿島アントラーズ,Ｖ・ファーレン長崎,2,2,0,0,4,2,1,2,1.0,0.0,0.0,6,3.0
鹿島アントラーズ,ファジアーノ岡山,2,1,0,1,3,3,1,0,0.5,0.0,0.5,3,1.5
ＦＣ東京,横浜Ｆ・マリノス,50,20,10,20,67,69,25,-2,0.4,0.2,0.4,70,1.4
ＦＣ東京,鹿島アントラーズ,50,13,10,27,65,89,25,-24,0.26,0.2,0.54,49,0.98
ＦＣ東京,名古屋グランパス,48,21,12,15,61,50,24,11,0.4375,0.25,0.3125,75,1.5625
ＦＣ東京,ガンバ大阪,48,19,12,17,65,69,24,-4,0.3958333333333333,0.25,0.3541666666666667,69,1.4375
ＦＣ東京,浦和レッズ,48,13,12,23,57,75,24,-18,0.2708333333333333,0.25,0.4791666666666667,51,1.0625
ＦＣ東京,ヴィッセル神戸,46,21,13,12,64,46,23,18,0.45652173913043476,0.2826086956521739,0.2608695652173913,76,1.6521739130434783
ＦＣ東京,サンフレッチェ広島,46,17,11,18,56,59,23,-3,0.3695652173913043,0.2391304347826087,0.391304347826087,62,1.3478260869565217
ＦＣ東京,清水エスパルス,44,22,8,14,63,46,22,17,0.5,0.18181818181818182,0.3181818181818182,74,1.6818181818181819
