competition,season,team,old_manager,new_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,last_old_manager_match_id,first_new_manager_match_id,last_old_manager_match_url,first_new_manager_match_url,change_type,source,note,next_new_manager,next_old_manager,next_effective_change_date,prev_old_manager,prev_new_manager,prev_effective_change_date,starts_short_reversion,ends_short_reversion,days_until_next_change,days_since_prev_change,auto_event_type,recommended_use_for_boost,review_status,event_note
J1,2025,横浜FM,パトリック キスノーボ,大島 秀夫,2025-06-15,2025-06-21,2025-06-21,20250615001,20250621007,https://soccer-db.net/result/20250615001,https://soccer-db.net/result/20250621007,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,スティーブ ホーランド,パトリック キスノーボ,2025-04-20,False,False,,62.0,true_change_candidate,True,likely_include,同一シーズン2度目の体制変更候補。別イベントとして扱う候補
J2,2023,いわき,村主 博正,田村 雄三,2023-06-11,2023-06-18,2023-06-18,20230611009,20230618002,https://soccer-db.net/result/20230611009,https://soccer-db.net/result/20230618002,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2023,仙台,伊藤 彰,堀 孝史,2023-07-09,2023-07-16,2023-07-16,20230709003,20230716013,https://soccer-db.net/result/20230709003,https://soccer-db.net/result/20230716013,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2023,大宮,相馬 直樹,原崎 政人,2023-05-17,2023-05-21,2023-05-21,20230517003,20230521002,https://soccer-db.net/result/20230517003,https://soccer-db.net/result/20230521002,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2023,山口,名塚 善寛,中山 元気,2023-05-07,2023-05-13,2023-05-13,20230507010,20230513005,https://soccer-db.net/result/20230507010,https://soccer-db.net/result/20230513005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,フアン エスナイデル,中山 元気,2023-06-11,,,,False,False,29.0,,true_change_candidate,True,needs_review,
J2,2023,山口,中山 元気,フアン エスナイデル,2023-06-03,2023-06-11,2023-06-11,20230603012,20230611012,https://soccer-db.net/result/20230603012,https://soccer-db.net/result/20230611012,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,名塚 善寛,中山 元気,2023-05-13,False,False,,29.0,true_change_candidate,True,needs_review,
J2,2023,山形,ピーター クラモフスキー,渡邉 晋,2023-04-02,2023-04-08,2023-04-08,20230402002,20230408005,https://soccer-db.net/result/20230402002,https://soccer-db.net/result/20230408005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2023,岡山,木山 隆之,小坂 雄樹,2023-07-29,2023-08-05,2023-08-05,20230729006,20230805004,https://soccer-db.net/result/20230729006,https://soccer-db.net/result/20230805004,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,木山 隆之,小坂 雄樹,2023-08-13,,,,True,False,8.0,,temporary_or_one_match_reversion,False,needs_review,
J2,2023,岡山,小坂 雄樹,木山 隆之,2023-08-05,2023-08-13,2023-08-13,20230805004,20230813007,https://soccer-db.net/result/20230805004,https://soccer-db.net/result/20230813007,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,木山 隆之,小坂 雄樹,2023-08-05,False,True,,8.0,temporary_or_one_match_reversion,False,needs_review,
J2,2023,徳島,ベニャート ラバイン,吉田 達磨,2023-08-20,2023-08-26,2023-08-26,20230820002,20230826013,https://soccer-db.net/result/20230820002,https://soccer-db.net/result/20230826013,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2023,清水,ゼ リカルド,秋葉 忠宏,2023-04-01,2023-04-08,2023-04-08,20230401009,20230408008,https://soccer-db.net/result/20230401009,https://soccer-db.net/result/20230408008,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2024,徳島,吉田 達磨,増田 功作,2024-03-30,2024-04-03,2024-04-03,20240330014,20240403014,https://soccer-db.net/result/20240330014,https://soccer-db.net/result/20240403014,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2024,栃木,田中 誠,小林 伸二,2024-05-12,2024-05-19,2024-05-19,20240512005,20240519011,https://soccer-db.net/result/20240512005,https://soccer-db.net/result/20240519011,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2024,水戸,濱崎 芳己,森 直樹,2024-05-03,2024-05-06,2024-05-06,20240503018,20240506014,https://soccer-db.net/result/20240503018,https://soccer-db.net/result/20240506014,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,樹森 大介,森 直樹,2024-08-25,,,,False,False,111.0,,true_change_candidate,True,needs_review,
J2,2024,水戸,森 直樹,樹森 大介,2024-08-17,2024-08-25,2024-08-25,20240817011,20240825006,https://soccer-db.net/result/20240817011,https://soccer-db.net/result/20240825006,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,森 直樹,樹森 大介,2024-08-31,濱崎 芳己,森 直樹,2024-05-06,True,False,6.0,111.0,temporary_or_one_match_reversion,False,needs_review,
J2,2024,水戸,樹森 大介,森 直樹,2024-08-25,2024-08-31,2024-08-31,20240825006,20240831005,https://soccer-db.net/result/20240825006,https://soccer-db.net/result/20240831005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,森 直樹,樹森 大介,2024-08-25,False,True,,6.0,temporary_or_one_match_reversion,False,needs_review,
J2,2024,甲府,篠田 善之,大塚 真司,2024-06-29,2024-07-06,2024-07-06,20240629010,20240706012,https://soccer-db.net/result/20240629010,https://soccer-db.net/result/20240706012,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2024,群馬,大槻 毅,武藤 覚,2024-05-06,2024-05-11,2024-05-11,20240506018,20240511009,https://soccer-db.net/result/20240506018,https://soccer-db.net/result/20240511009,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2024,鹿児島ユナイテッドＦＣ,大島 康明,浅野 哲也,2024-05-25,2024-06-02,2024-06-02,20240525007,20240602006,https://soccer-db.net/result/20240525007,https://soccer-db.net/result/20240602006,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,大分,片野坂 知宏,竹中 穣,2025-08-17,2025-08-23,2025-08-23,20250817002,20250823009,https://soccer-db.net/result/20250817002,https://soccer-db.net/result/20250823009,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,大宮,長澤 徹,宮沢 悠生,2025-09-20,2025-09-27,2025-09-27,20250920015,20250927013,https://soccer-db.net/result/20250920015,https://soccer-db.net/result/20250927013,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,富山,小田切 道治,安達 亮,2025-05-17,2025-05-31,2025-05-31,20250517012,20250531011,https://soccer-db.net/result/20250517012,https://soccer-db.net/result/20250531011,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,山口,志垣 良,中山 元気,2025-06-21,2025-06-28,2025-06-28,20250621010,20250628015,https://soccer-db.net/result/20250621010,https://soccer-db.net/result/20250628015,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,吉澤 英生,中山 元気,2025-10-19,,,,False,False,113.0,,true_change_candidate,True,needs_review,
J2,2025,山口,中山 元気,吉澤 英生,2025-10-05,2025-10-19,2025-10-19,20251005003,20251019003,https://soccer-db.net/result/20251005003,https://soccer-db.net/result/20251019003,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,中山 元気,吉澤 英生,2025-10-26,志垣 良,中山 元気,2025-06-28,True,False,7.0,113.0,temporary_or_one_match_reversion,False,needs_review,
J2,2025,山口,吉澤 英生,中山 元気,2025-10-19,2025-10-26,2025-10-26,20251019003,20251026006,https://soccer-db.net/result/20251019003,https://soccer-db.net/result/20251026006,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,中山 元気,吉澤 英生,2025-10-19,False,True,,7.0,temporary_or_one_match_reversion,False,needs_review,
J2,2025,山形,渡邉 晋,佐藤 尽,2025-06-15,2025-06-22,2025-06-22,20250615009,20250622004,https://soccer-db.net/result/20250615009,https://soccer-db.net/result/20250622004,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,横内 昭展,佐藤 尽,2025-06-28,,,,False,False,6.0,,true_change_candidate,True,needs_review,
J2,2025,山形,佐藤 尽,横内 昭展,2025-06-22,2025-06-28,2025-06-28,20250622004,20250628016,https://soccer-db.net/result/20250622004,https://soccer-db.net/result/20250628016,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,渡邉 晋,佐藤 尽,2025-06-22,False,False,,6.0,followup_change_after_recent_change,False,needs_review,
J2,2025,徳島,増田 功作,森戸 壮介,2025-10-05,2025-10-18,2025-10-18,20251005004,20251018011,https://soccer-db.net/result/20251005004,https://soccer-db.net/result/20251018011,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,増田 功作,森戸 壮介,2025-10-26,,,,True,False,8.0,,temporary_or_one_match_reversion,False,needs_review,
J2,2025,徳島,森戸 壮介,増田 功作,2025-10-18,2025-10-26,2025-10-26,20251018011,20251026005,https://soccer-db.net/result/20251018011,https://soccer-db.net/result/20251026005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,増田 功作,森戸 壮介,2025-10-18,False,True,,8.0,temporary_or_one_match_reversion,False,needs_review,
J2,2025,愛媛,石丸 清隆,青野 慎也,2025-05-18,2025-05-31,2025-05-31,20250518005,20250531012,https://soccer-db.net/result/20250518005,https://soccer-db.net/result/20250531012,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,札幌,岩政 大樹,柴田 慎吾,2025-08-09,2025-08-16,2025-08-16,20250809004,20250816010,https://soccer-db.net/result/20250809004,https://soccer-db.net/result/20250816010,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,磐田,ジョン ハッチンソン,安間 貴義,2025-09-27,2025-10-04,2025-10-04,20250927013,20251004013,https://soccer-db.net/result/20250927013,https://soccer-db.net/result/20251004013,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
J2,2025,長崎,下平 隆宏,高木 琢也,2025-06-15,2025-06-22,2025-06-22,20250615010,20250622003,https://soccer-db.net/result/20250615010,https://soccer-db.net/result/20250622003,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,needs_review,
