match_id,year,date,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_202,2024,2024-06-29,0.3,横浜Ｆ・マリノス,東京ヴェルディ,1,2,1619.274,1584.284,34.98999999999978,1.0265898663335176,1.75970353373904,1.1159465703432112,1.8064938154877797,1.0870422619003952
J1_2024_203,2024,2024-06-30,0.3,ガンバ大阪,ＦＣ町田ゼルビア,1,3,1584.206,1660.305,-76.09900000000016,0.9445239358606113,0.7005658359735035,1.1622423716429429,0.661701200723173,1.2305060015064155
J1_2024_204,2024,2024-06-30,0.3,サガン鳥栖,柏レイソル,1,4,1510.494,1493.159,17.33499999999981,1.0130861337166848,1.6135573835484225,1.0947466562387627,1.6346726112290813,1.0806057054818152
J1_2024_205,2024,2024-06-30,0.3,セレッソ大阪,名古屋グランパス,2,1,1594.838,1568.795,26.042999999999893,1.0197242524375167,1.1709739520277929,1.2534316897346707,1.1940705378553456,1.2291868970837039
J1_2024_206,2024,2024-06-30,0.3,ヴィッセル神戸,鹿島アントラーズ,3,1,1673.505,1652.977,20.52800000000002,1.0155151289927993,1.189861524635811,1.1275113726206627,1.2083223796741045,1.110285155218655
J1_2024_207,2024,2024-06-30,0.3,浦和レッズ,ジュビロ磐田,3,0,1598.541,1543.88,54.66099999999983,1.04184767768344,1.828005620330986,1.131837600834116,1.9045034103341139,1.0863753167360988
J1_2024_208,2024,2024-06-30,0.3,湘南ベルマーレ,京都サンガF.C.,0,1,1479.715,1461.401,18.31399999999985,1.0138302653662665,1.122578495888701,0.9926323291824452,1.1381040543813061,0.9790912375493513
J1_2024_209,2024,2024-06-30,0.3,ＦＣ東京,アビスパ福岡,0,1,1577.004,1580.175,-3.171000000000049,0.9976245757959376,0.8754131366550343,1.2176118722719125,0.8733336591016697,1.2205111038894183
J1_2024_210,2024,2024-07-03,0.3,横浜Ｆ・マリノス,サガン鳥栖,0,1,1619.274,1510.494,108.77999999999997,1.0850054391268544,2.3816938580296805,0.8472047472207385,2.5841507902972256,0.780829954089923
J1_2024_211,2024,2024-07-05,0.3,サンフレッチェ広島,ヴィッセル神戸,1,3,1658.003,1673.505,-15.50200000000018,0.9884408265743791,1.1399768847778575,1.2345292744791416,1.1267996942655112,1.2489662924563998
J1_2024_212,2024,2024-07-06,0.3,アルビレックス新潟,サガン鳥栖,3,4,1544.937,1510.494,34.442999999999984,1.0261687942191775,1.85539686924428,1.168866463675163,1.9039503681104397,1.1390586716920832
J1_2024_213,2024,2024-07-06,0.3,ガンバ大阪,横浜Ｆ・マリノス,4,0,1584.206,1619.274,-35.067999999999984,0.9740418588802157,1.7512257173956796,1.167425312731748,1.7057671530909269,1.1985371081216685
J1_2024_214,2024,2024-07-06,0.3,ジュビロ磐田,川崎フロンターレ,2,2,1543.88,1575.083,-31.202999999999975,0.976869458991588,1.3868965843632695,1.1001843235946513,1.3548169160442283,1.1262347424909362
J1_2024_215,2024,2024-07-06,0.3,東京ヴェルディ,セレッソ大阪,1,1,1584.284,1594.838,-10.55399999999986,0.9921157450756422,1.0154395307866162,1.1705658435507518,1.0074335466656241,1.1798682254170898
