cutoff_matches,beta_elo,n_years,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mean_actual_future_draw_rate,mean_sim_goals_per_match,mean_actual_future_goals_per_match,mean_lambda_total,mean_abs_elo_diff,mean_known_matches,mean_future_matches,mean_known_ratio,mean_min_team_games,mean_max_team_games,baseline_mae,baseline_prob_actual_position,mae_diff_vs_beta0,prob_diff_vs_beta0
15,0.05,3,2.1875855555555552,0.4815996534044215,0.14646574074074073,0.26365393840681506,0.2665880340611709,2.434924414955745,2.538213237489906,2.4348344301344347,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,-0.006286296296296623,0.0022972222222222005
15,0.1,3,2.1894903703703705,0.48305889823817333,0.14547185185185188,0.26197488848306216,0.2665880340611709,2.4430873405392606,2.538213237489906,2.4422943299309754,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,-0.00438148148148132,0.0013033333333333508
15,0.0,3,2.193871851851852,0.47929361349021765,0.14416851851851853,0.26513694442530167,0.2665880340611709,2.4283525812168794,2.538213237489906,2.427533260981011,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,0.0,0.0
17,0.0,3,2.292308148148148,0.24650966631770405,0.13474222222222224,0.26274727208255483,0.2683351855937996,2.469127904354533,2.4990698211101012,2.469622716151146,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.0,0.0
17,0.05,3,2.2971792592592593,0.24220532052482846,0.13525333333333334,0.2610859944929271,0.2683351855937996,2.4765225839697034,2.4990698211101012,2.4765346046083483,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.004871111111111048,0.0005111111111111011
17,0.1,3,2.2981088888888888,0.23839372112195067,0.13504296296296295,0.25972679748551425,0.2683351855937996,2.4840985117700076,2.4990698211101012,2.4837642651849454,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.005800740740740551,0.00030074074074071255
17,0.15,3,2.3065014814814817,0.23837656147813696,0.1353761111111111,0.25830296091764154,0.2683351855937996,2.4911072469493933,2.4990698211101012,2.491357821224469,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.014193333333333502,0.0006338888888888783
17,0.2,3,2.309048888888889,0.23667348444013975,0.13532740740740737,0.2569029336566861,0.2683351855937996,2.5000310776354673,2.4990698211101012,2.4993181227834995,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.016740740740740723,0.0005851851851851331
17,0.3,3,2.3121885185185183,0.2317083033469401,0.13445,0.25318024794198907,0.2683351855937996,2.5156560634820386,2.4990698211101012,2.515992522970016,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.01988037037037005,-0.00029222222222224925
20,0.0,3,2.2451296296296297,0.47109428034968687,0.12725,0.2627501866146594,0.26287066304495005,2.439265694500067,2.5375153427367336,2.4398167566964473,81.43184737541087,201.33333333333334,154.0,0.5697053090241945,20.0,21.333333333333332,2.2451296296296297,0.12725,0.0,0.0
20,0.1,3,2.2459188888888892,0.4603608085734174,0.12754055555555555,0.2594346603857651,0.26287066304495005,2.455063717098937,2.5375153427367336,2.455484225223018,81.43184737541087,201.33333333333334,154.0,0.5697053090241945,20.0,21.333333333333332,2.2451296296296297,0.12725,0.0007892592592595449,0.0002905555555555439
