match_id,year,date,cutoff_matches,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_201,2024,2024-06-29,17,0.15,川崎フロンターレ,サンフレッチェ広島,1,1,1574.174,1651.04,-76.86599999999999,0.9715867201202185,1.2778219222036742,1.1508414612557085,1.2415148102915807,1.1844969032854937
J1_2024_202,2024,2024-06-29,17,0.15,横浜Ｆ・マリノス,東京ヴェルディ,1,2,1612.831,1575.957,36.873999999999796,1.0139237955222586,1.7461298398392997,1.105865998199537,1.7704425946845364,1.090679598489865
J1_2024_203,2024,2024-06-30,17,0.15,ガンバ大阪,ＦＣ町田ゼルビア,1,3,1572.047,1664.329,-92.28199999999993,0.9659861812462925,0.6741928692061044,1.125380310252333,0.651260995147886,1.1650066347744166
J1_2024_204,2024,2024-06-30,17,0.15,サガン鳥栖,柏レイソル,1,4,1495.049,1500.123,-5.074000000000069,0.9980990590811896,1.4670874211622587,1.1780384913886344,1.4642985746518993,1.1802821380005006
J1_2024_205,2024,2024-06-30,17,0.15,セレッソ大阪,名古屋グランパス,2,1,1594.562,1577.122,17.439999999999827,1.006561432497369,1.1635058828266622,1.3718862889969154,1.171140148137121,1.3629434276983399
J1_2024_206,2024,2024-06-30,17,0.15,ヴィッセル神戸,鹿島アントラーズ,3,1,1685.664,1652.807,32.85699999999997,1.012397595867881,1.1273963934814406,1.0971833209238724,1.1413733983507302,1.0837474579177646
J1_2024_207,2024,2024-06-30,17,0.15,浦和レッズ,ジュビロ磐田,3,0,1598.71,1544.156,54.55400000000009,1.0206684440904394,1.7838288677856684,1.0225640546138073,1.8206978350064085,1.001857224580953
J1_2024_208,2024,2024-06-30,17,0.15,湘南ベルマーレ,京都サンガF.C.,0,1,1488.84,1476.846,11.993999999999915,1.0045078800593286,1.093505382697664,1.0993128238955523,1.0984347738070952,1.0943794924044044
J1_2024_209,2024,2024-06-30,17,0.15,ＦＣ東京,アビスパ福岡,0,1,1567.879,1576.151,-8.272000000000162,0.9969028062310726,0.9415323786926094,1.3163514164482795,0.9386162704760793,1.3204410783283136
J1_2024_210,2024,2024-07-03,17,0.15,横浜Ｆ・マリノス,サガン鳥栖,0,1,1612.831,1495.049,117.78199999999993,1.0451581879611962,2.364718094639309,0.8401063610256474,2.471504478832273,0.8038078548324382
J1_2024_211,2024,2024-07-05,17,0.15,サンフレッチェ広島,ヴィッセル神戸,1,3,1651.04,1685.664,-34.624000000000024,0.9870999284927954,0.9554847269989304,1.2585918804914498,0.9431589056966023,1.275039987504807
J1_2024_212,2024,2024-07-06,17,0.15,アルビレックス新潟,サガン鳥栖,3,4,1545.846,1495.049,50.797000000000025,1.0192314623377972,1.7529819499723287,1.130763120670669,1.7866943563220599,1.1094272130071938
J1_2024_213,2024,2024-07-06,17,0.15,ガンバ大阪,横浜Ｆ・マリノス,4,0,1572.047,1612.831,-40.78399999999988,0.9848223592632153,1.838158312406711,1.1669397982786518,1.8102594059236674,1.1849241513481537
J1_2024_214,2024,2024-07-06,17,0.15,ジュビロ磐田,川崎フロンターレ,2,2,1544.156,1574.174,-30.01800000000003,0.9888063701457083,1.35616522929031,1.0331087177613691,1.3409848176923735,1.0448038655021332
J1_2024_215,2024,2024-07-06,17,0.15,東京ヴェルディ,セレッソ大阪,1,1,1575.957,1594.562,-18.60499999999979,0.9930474068889977,1.0339082510430229,1.2874663207556138,1.0267199076594127,1.296480220203149
J1_2024_216,2024,2024-07-06,17,0.15,柏レイソル,ＦＣ東京,3,2,1500.123,1567.879,-67.75599999999986,0.9749115792942693,1.1114639016748402,1.530546108469127,1.083579027710389,1.569933254436343
J1_2024_217,2024,2024-07-06,17,0.15,浦和レッズ,湘南ベルマーレ,2,3,1598.71,1488.84,109.87000000000012,1.0420617993814552,2.094225023762064,0.929755776042171,2.182311896571167,0.8922270988093541
J1_2024_218,2024,2024-07-06,17,0.15,鹿島アントラーズ,北海道コンサドーレ札幌,2,0,1652.807,1443.008,209.79899999999998,1.081852257118694,2.744459584730704,0.7238038849004877,2.969099796311945,0.6690413410313536
J1_2024_219,2024,2024-07-06,17,0.15,ＦＣ町田ゼルビア,名古屋グランパス,1,0,1664.329,1577.122,87.20699999999988,1.033243232844583,1.4135456135474072,1.2749800274457346,1.4605364395150027,1.2339592333313765
J1_2024_220,2024,2024-07-07,17,0.15,アビスパ福岡,京都サンガF.C.,1,2,1576.151,1476.846,99.30500000000006,1.0379414483375002,0.7992935286244278,0.7748830847722628,0.8296198827472299,0.7465576078625771
J1_2024_221,2024,2024-07-13,17,0.15,北海道コンサドーレ札幌,ヴィッセル神戸,1,1,1443.008,1685.664,-242.65599999999995,0.9130213629774135,0.4671408068197263,1.847600364718116,0.42650953614491516,2.0236113191185234
J1_2024_222,2024,2024-07-13,17,0.15,ＦＣ東京,アルビレックス新潟,2,0,1567.879,1545.846,22.0329999999999,1.0082966026225295,1.3967312279458166,1.358631395718739,1.4083193519145607,1.3474521209185928
J1_2024_223,2024,2024-07-14,17,0.15,サガン鳥栖,ガンバ大阪,0,2,1495.049,1572.047,-76.99800000000005,0.971538627767868,0.9554153042480006,0.8434121825966959,0.9282228736375226,0.868120071081944
J1_2024_224,2024,2024-07-14,17,0.15,サンフレッチェ広島,アビスパ福岡,1,0,1651.04,1576.151,74.8889999999999,1.028481430486103,1.371018585236418,1.0063373218683007,1.4100671557669844,0.9784691215986894
J1_2024_225,2024,2024-07-14,17,0.15,京都サンガF.C.,浦和レッズ,0,0,1476.846,1598.71,-121.86400000000003,0.9553294730895535,1.1314562136435822,2.167117944860534,1.0809134684040247,2.26845083911421
J1_2024_226,2024,2024-07-14,17,0.15,名古屋グランパス,柏レイソル,2,1,1577.122,1500.123,76.99900000000002,1.0292955384569666,1.042931559113291,0.913379445694284,1.0734848007112787,0.887383080532483
J1_2024_227,2024,2024-07-14,17,0.15,川崎フロンターレ,セレッソ大阪,1,1,1574.174,1594.562,-20.38799999999992,0.9923836524926862,1.2215219750481967,0.9724426617369932,1.2122184391984094,0.9799059660992955
J1_2024_228,2024,2024-07-14,17,0.15,東京ヴェルディ,ＦＣ町田ゼルビア,0,1,1575.957,1664.329,-88.37199999999984,0.9674035973738028,0.7495655079067647,1.8592110290829884,0.7251323688163258,1.9218566419746246
J1_2024_229,2024,2024-07-14,17,0.15,横浜Ｆ・マリノス,鹿島アントラーズ,4,1,1612.831,1652.807,-39.97600000000011,0.9851208056504162,1.4976086346839164,1.3096643774526253,1.4753254247488394,1.3294454547510368
J1_2024_230,2024,2024-07-14,17,0.15,湘南ベルマーレ,ジュビロ磐田,5,0,1488.84,1544.156,-55.31600000000003,0.9794701664491354,1.4251967563637928,1.7838059470776764,1.395937704178412,1.8211947726233382
J1_2024_231,2024,2024-07-20,17,0.15,アビスパ福岡,東京ヴェルディ,0,1,1576.151,1575.957,0.19399999999995998,1.0000727526463453,0.9853138122041457,1.1634603027471062,0.9853854963914641,1.16337566408885
J1_2024_232,2024,2024-07-20,17,0.15,ガンバ大阪,湘南ベルマーレ,0,1,1572.047,1488.84,83.20700000000011,1.0316945298129718,1.8433223819354865,0.8840025624102569,1.901745618124659,0.8568452549326893
J1_2024_233,2024,2024-07-20,17,0.15,ジュビロ磐田,京都サンガF.C.,1,2,1544.156,1476.846,67.30999999999995,1.025562507637126,1.014575927978027,0.8394333235673463,1.0405110328854097,0.8185101515668535
J1_2024_234,2024,2024-07-20,17,0.15,セレッソ大阪,アルビレックス新潟,1,2,1594.562,1545.846,48.715999999999894,1.0184363898530693,1.4064058666740735,1.248780189511635,1.4323349135237204,1.2261739682061024
J1_2024_235,2024,2024-07-20,17,0.15,ヴィッセル神戸,名古屋グランパス,3,3,1685.664,1577.122,108.54199999999992,1.0415429818016628,0.9855981385024579,0.9866824082511375,1.0265428240340182,0.94732759520339
J1_2024_236,2024,2024-07-20,17,0.15,柏レイソル,川崎フロンターレ,2,3,1500.123,1574.174,-74.05099999999993,0.9726128928831644,1.1761487760926104,1.0653232477740606,1.143937463576427,1.0953209191131226
J1_2024_237,2024,2024-07-20,17,0.15,浦和レッズ,北海道コンサドーレ札幌,3,4,1598.71,1443.008,155.702,1.0601265099374022,2.6118067611063713,0.6947369754084508,2.768845586282608,0.6553340274921275
