competition,competition_id,season,match_id,match_url,date,home,away,home_goal,away_goal,home_manager,away_manager,manager_parse_method,page_title
J1,1001,2024,20241019002,https://soccer-db.net/result/20241019002,2024-10-19,鹿島,福岡,,,中後 雅喜,長谷部 茂利,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 鹿島アントラーズ - アビスパ福岡 試合結果,スタメン"
J1,1001,2024,20241019003,https://soccer-db.net/result/20241019003,2024-10-19,名古屋,札幌,,,長谷川 健太,ミハイロ ペトロビッチ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 名古屋グランパス - 北海道コンサドーレ札幌 試合結果,スタメン"
J1,1001,2024,20241019004,https://soccer-db.net/result/20241019004,2024-10-19,京都,鳥栖,,,チョウ キジェ,木谷 公亮,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 京都サンガF.C. - サガン鳥栖 試合結果,スタメン"
J1,1001,2024,20241019005,https://soccer-db.net/result/20241019005,2024-10-19,湘南,広島,,,山口 智,ミヒャエル スキッベ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 湘南ベルマーレ - サンフレッチェ広島 試合結果,スタメン"
J1,1001,2024,20241019006,https://soccer-db.net/result/20241019006,2024-10-19,C大阪,磐田,,,小菊 昭雄,横内 昭展,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 セレッソ大阪 - ジュビロ磐田 試合結果,スタメン"
J1,1001,2024,20241019007,https://soccer-db.net/result/20241019007,2024-10-19,東京V,浦和,,,城福 浩,マチェイ スコルジャ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 東京ヴェルディ - 浦和レッズ 試合結果,スタメン"
J1,1001,2024,20241023001,https://soccer-db.net/result/20241023001,2024-10-23,浦和,柏,,,マチェイ スコルジャ,井原 正巳,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/23 浦和レッズ - 柏レイソル 試合結果,スタメン"
J1,1001,2024,20241023002,https://soccer-db.net/result/20241023002,2024-10-23,G大阪,名古屋,,,ダニエル ポヤトス,長谷川 健太,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/23 ガンバ大阪 - 名古屋グランパス 試合結果,スタメン"
J1,1001,2024,20241023003,https://soccer-db.net/result/20241023003,2024-10-23,新潟,東京V,,,松橋 力蔵,城福 浩,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/23 アルビレックス新潟 - 東京ヴェルディ 試合結果,スタメン"
J1,1001,2024,20241030001,https://soccer-db.net/result/20241030001,2024-10-30,横浜FM,浦和,,,ジョン ハッチンソン,マチェイ スコルジャ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/30 横浜Ｆ・マリノス - 浦和レッズ 試合結果,スタメン"
J1,1001,2024,20241101001,https://soccer-db.net/result/20241101001,2024-11-01,川崎F,鹿島,,,鬼木 達,中後 雅喜,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/11/01 川崎フロンターレ - 鹿島アントラーズ 試合結果,スタメン"
J1,1001,2024,20241101002,https://soccer-db.net/result/20241101002,2024-11-01,神戸,磐田,,,吉田 孝行,横内 昭展,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/11/01 ヴィッセル神戸 - ジュビロ磐田 試合結果,スタメン"
J1,1001,2024,20241103001,https://soccer-db.net/result/20241103001,2024-11-03,広島,京都,,,ミヒャエル スキッベ,チョウ キジェ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/11/03 サンフレッチェ広島 - 京都サンガF.C. 試合結果,スタメン"
J1,1001,2024,20241103002,https://soccer-db.net/result/20241103002,2024-11-03,札幌,C大阪,,,ミハイロ ペトロビッチ,小菊 昭雄,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/11/03 北海道コンサドーレ札幌 - セレッソ大阪 試合結果,スタメン"
J1,1001,2024,20241103003,https://soccer-db.net/result/20241103003,2024-11-03,FC東京,湘南,,,ピーター クラモフスキー,山口 智,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/11/03 ＦＣ東京 - 湘南ベルマーレ 試合結果,スタメン"
