event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source,pseudo_last5_points,pseudo_last5_gf,pseudo_last5_ga,pseudo_last5_gd,timing_bucket,original_pseudo_event_id
PSEUDO_0039,J1,2012,川崎F,no_change_control,no_change_control,,2012-09-01,2012-09-15,2012-09-15,2012-09-15,24,10,24,10,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,6,9,-3,17_24,PSEUDO_2012_川崎F_24
PSEUDO_0040,J1,2012,新潟,no_change_control,no_change_control,,2012-04-07,2012-04-14,2012-04-14,2012-04-14,5,29,5,29,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,6,-3,00_08,PSEUDO_2012_新潟_05
PSEUDO_0041,J1,2012,札幌,no_change_control,no_change_control,,2012-05-06,2012-05-12,2012-05-12,2012-05-12,10,24,10,24,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,10,-4,09_16,PSEUDO_2012_札幌_10
PSEUDO_0042,J1,2012,札幌,no_change_control,no_change_control,,2012-09-15,2012-09-22,2012-09-22,2012-09-22,25,9,25,9,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,17,-10,25_plus,PSEUDO_2012_札幌_25
PSEUDO_0043,J1,2012,鳥栖,no_change_control,no_change_control,,2012-10-20,2012-10-27,2012-10-27,2012-10-27,29,5,29,5,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,12,-5,25_plus,PSEUDO_2012_鳥栖_29
PSEUDO_0044,J1,2013,甲府,no_change_control,no_change_control,,2013-07-06,2013-07-10,2013-07-10,2013-07-10,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,2,12,-10,09_16,PSEUDO_2013_甲府_14
PSEUDO_0045,J1,2013,鳥栖,no_change_control,no_change_control,,2013-05-25,2013-07-06,2013-07-06,2013-07-06,13,21,13,21,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,9,15,-6,09_16,PSEUDO_2013_鳥栖_13
PSEUDO_0046,J1,2013,鳥栖,no_change_control,no_change_control,,2013-08-10,2013-08-17,2013-08-17,2013-08-17,20,14,20,14,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,8,13,-5,17_24,PSEUDO_2013_鳥栖_20
PSEUDO_0047,J1,2014,仙台,no_change_control,no_change_control,,2014-09-20,2014-09-23,2014-09-23,2014-09-23,24,10,24,10,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,9,-3,17_24,PSEUDO_2014_仙台_24
PSEUDO_0048,J1,2014,名古屋,no_change_control,no_change_control,,2014-04-19,2014-04-26,2014-04-26,2014-04-26,8,26,8,26,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,11,-6,00_08,PSEUDO_2014_名古屋_08
PSEUDO_0049,J1,2014,大宮,no_change_control,no_change_control,,2014-07-27,2014-08-02,2014-08-02,2014-08-02,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,11,-4,17_24,PSEUDO_2014_大宮_17
PSEUDO_0050,J1,2014,広島,no_change_control,no_change_control,,2014-07-19,2014-07-23,2014-07-23,2014-07-23,15,19,15,19,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,7,-2,09_16,PSEUDO_2014_広島_15
PSEUDO_0051,J1,2014,徳島,no_change_control,no_change_control,,2014-09-13,2014-09-20,2014-09-20,2014-09-20,23,11,23,11,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,10,-8,17_24,PSEUDO_2014_徳島_23
PSEUDO_0052,J1,2014,新潟,no_change_control,no_change_control,,2014-07-27,2014-08-02,2014-08-02,2014-08-02,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,1,5,-4,17_24,PSEUDO_2014_新潟_17
PSEUDO_0053,J1,2015,山形,no_change_control,no_change_control,,2015-06-20,2015-06-27,2015-06-27,2015-06-27,16,18,16,18,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,10,-7,09_16,PSEUDO_2015_山形_16
PSEUDO_0054,J1,2015,山形,no_change_control,no_change_control,,2015-07-25,2015-07-29,2015-07-29,2015-07-29,21,13,21,13,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,7,-4,17_24,PSEUDO_2015_山形_21
PSEUDO_0055,J1,2015,横浜FM,no_change_control,no_change_control,,2015-07-15,2015-07-19,2015-07-19,2015-07-19,19,15,19,15,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,7,-4,17_24,PSEUDO_2015_横浜FM_19
PSEUDO_0056,J1,2016,名古屋,no_change_control,no_change_control,,2016-07-09,2016-07-13,2016-07-13,2016-07-13,19,15,19,15,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,9,-5,17_24,PSEUDO_2016_名古屋_19
PSEUDO_0057,J1,2016,湘南,no_change_control,no_change_control,,2016-08-27,2016-09-10,2016-09-10,2016-09-10,27,7,27,7,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,0,5,12,-7,25_plus,PSEUDO_2016_湘南_27
PSEUDO_0058,J1,2016,福岡,no_change_control,no_change_control,,2016-08-14,2016-08-20,2016-08-20,2016-08-20,25,9,25,9,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,7,-3,25_plus,PSEUDO_2016_福岡_25
PSEUDO_0059,J1,2017,新潟,no_change_control,no_change_control,,2017-08-09,2017-08-13,2017-08-13,2017-08-13,21,13,21,13,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,2,9,-7,17_24,PSEUDO_2017_新潟_21
PSEUDO_0060,J1,2017,新潟,no_change_control,no_change_control,,2017-09-16,2017-09-23,2017-09-23,2017-09-23,26,8,26,8,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,8,-4,25_plus,PSEUDO_2017_新潟_26
PSEUDO_0061,J1,2017,札幌,no_change_control,no_change_control,,2017-06-04,2017-06-17,2017-06-17,2017-06-17,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,6,-4,09_16,PSEUDO_2017_札幌_14
PSEUDO_0062,J1,2017,清水,no_change_control,no_change_control,,2017-08-27,2017-09-09,2017-09-09,2017-09-09,24,10,24,10,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,12,-6,17_24,PSEUDO_2017_清水_24
PSEUDO_0063,J1,2017,甲府,no_change_control,no_change_control,,2017-06-04,2017-06-17,2017-06-17,2017-06-17,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,2,7,-5,09_16,PSEUDO_2017_甲府_14
PSEUDO_0064,J1,2017,甲府,no_change_control,no_change_control,,2017-09-09,2017-09-16,2017-09-16,2017-09-16,25,9,25,9,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,6,-3,25_plus,PSEUDO_2017_甲府_25
PSEUDO_0065,J1,2017,神戸,no_change_control,no_change_control,,2017-04-30,2017-05-06,2017-05-06,2017-05-06,9,25,9,25,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,7,-3,09_16,PSEUDO_2017_神戸_09
PSEUDO_0066,J1,2017,神戸,no_change_control,no_change_control,,2017-07-01,2017-07-08,2017-07-08,2017-07-08,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,11,-8,17_24,PSEUDO_2017_神戸_17
