model_version,target_year,previous_year,match_index_in_test,date,home,away,actual_home_goal,actual_away_goal,lambda_home,lambda_away,home_win_prob,draw_prob,away_win_prob,home_expected_points,away_expected_points,home_actual_points,away_actual_points,home_points_residual,away_points_residual,home_goal_residual,away_goal_residual,score_grid_expected_home_goals,score_grid_expected_away_goals,home_elo,away_elo,home_matchup_effect,away_matchup_effect
v1.5,2023,2022,17,2023-07-02,横浜FM,湘南,4,1,2.4713265672066282,0.7815463756768581,0.7160222027240861,0.18978549161869934,0.09419230565721456,2.3378520997909575,0.472362408590343,3,0,0.6621479002090425,-0.472362408590343,1.5286734327933718,0.21845362432314186,2.4193708835669097,0.7935518299541241,1654.9664878390527,1451.2254606675106,0.007851750273915171,-0.007851750273915171
v1.5,2023,2022,18,2023-07-07,新潟,神戸,0,1,0.9506956486353281,2.6941090284137115,0.10405683598373544,0.18032518330795907,0.7156179807083054,0.49249569125916537,2.327179125432875,0,3,-0.49249569125916537,0.6728208745671251,-0.9506956486353281,-1.6941090284137115,0.9637012798540966,2.6444762678818154,1440.4461953650673,1581.3188621947713,0.017036513185096396,-0.017036513185096396
v1.5,2023,2022,19,2023-07-08,福岡,札幌,2,1,1.5126444088148006,1.6061801071933457,0.3385968679848951,0.2849081224875686,0.37649500952753656,1.300698726442254,1.4143931510701782,3,0,1.699301273557746,-1.4143931510701782,0.48735559118519944,-0.6061801071933457,1.497872337561252,1.585579569442226,1446.4903029050529,1508.8331728929727,0.03444706432407945,-0.03444706432407945
v1.5,2023,2022,20,2023-07-08,G大阪,京都,1,0,1.5509442979301442,1.5292650720717522,0.36079514572312577,0.2872393695360806,0.3519654847407935,1.369624806705458,1.343135823758461,3,0,1.630375193294542,-1.343135823758461,-0.5509442979301442,-1.5292650720717522,1.532392487558886,1.512078574458045,1452.455192640851,1435.0035369045336,-0.03232946000561726,0.03232946000561726
v1.5,2023,2022,21,2023-07-08,鳥栖,C大阪,2,1,0.9176161504094835,1.5358324924426714,0.20973316798923275,0.3086425490692229,0.48162428294154425,0.9378420530369211,1.7535153978938556,3,0,2.0621579469630786,-1.7535153978938556,1.0823838495905165,-0.5358324924426714,0.9157777219653969,1.4911750383340214,1492.560956580837,1556.9340998880539,-0.003627825014799139,0.003627825014799139
v1.5,2023,2022,22,2023-07-08,広島,鹿島,1,1,0.9340139895861592,0.8427307131918165,0.3601025556016648,0.32999999999999996,0.3098974443983351,1.4103076668049943,1.2596923331950052,1,1,-0.4103076668049943,-0.2596923331950052,0.06598601041384078,0.15726928680818353,0.9345248420677044,0.8431087693375364,1557.838679637829,1541.7221522140278,0.030481547977906205,-0.030481547977906205
v1.5,2023,2022,23,2023-07-08,名古屋,横浜FM,2,2,1.4122040326184881,1.2965445313789155,0.37043984675906816,0.3086357597320303,0.32092439350890145,1.4199553000092346,1.2714089402587345,1,1,-0.41995530000923464,-0.2714089402587345,0.5877959673815119,0.7034554686210845,1.3880289000347403,1.280380405323681,1567.8706549714868,1654.9664878390527,0.028184570687122868,-0.028184570687122868
v1.5,2023,2022,24,2023-07-08,柏,湘南,1,1,1.1552042194814287,1.6738396793794728,0.2464324875316351,0.2902975428694451,0.46326996959891986,1.0295950054643503,1.680107451666205,1,1,-0.029595005464350344,-0.6801074516662049,-0.1552042194814287,-0.6738396793794728,1.1518002323694445,1.6373214844932693,1426.229179760879,1451.2254606675106,-0.009592056937512831,0.009592056937512831
v1.5,2023,2022,25,2023-07-08,浦和,FC東京,0,0,2.2896852924694207,0.695480155468726,0.704074897945678,0.20316931370446215,0.09275578834986004,2.3153940075414963,0.4814366787540423,1,1,-1.3153940075414963,0.5185633212459577,-2.2896852924694207,-0.695480155468726,2.235591045706637,0.706613410764119,1557.3234991779466,1474.3075807527803,0.048987016385833804,-0.048987016385833804
v1.5,2023,2022,26,2023-07-08,川崎F,横浜FC,3,0,1.9506152397703982,0.4667625784816816,0.695974644262108,0.2289430007166557,0.07508235502123625,2.3168669335029795,0.45419006578036447,3,0,0.6831330664970205,-0.45419006578036447,1.0493847602296018,-0.4667625784816816,1.8892706743116947,0.4754447291848628,1578.255514608496,1420.8505167370859,-0.0074417817006866924,0.0074417817006866924
v1.5,2023,2022,27,2023-07-15,札幌,新潟,0,1,1.8582009899937986,1.491608049805522,0.4371927704393362,0.2694385454248844,0.2933686841357792,1.581016856742893,1.149544597832222,0,3,-1.581016856742893,1.850455402167778,-1.8582009899937986,-0.491608049805522,1.8307401155311072,1.4854083139142265,1508.8331728929727,1440.4461953650673,-0.029438545913294017,0.029438545913294017
