summary_axis,timing_bucket,new_manager_type,n_events,mean_uplift,median_uplift,mean_raw_residual,uplift_rate,strong_uplift_rate,strong_downlift_rate,reason_category,pre_context_auto,uplift_rule_level
new_manager_type × reason_category,,internal,23,-0.14423314878412788,-0.7439511458635053,0.20014010909420027,0.30434782608695654,0.30434782608695654,0.43478260869565216,relegation_battle,,
new_manager_type × reason_category,,internal,6,-0.260500872209307,-0.375343133918276,-0.06339359452855327,0.3333333333333333,0.3333333333333333,0.3333333333333333,club_disruption,,
new_manager_type × reason_category,,external,7,-0.3031238813895362,-0.14804116628032662,0.3015142795805796,0.42857142857142855,0.14285714285714285,0.2857142857142857,poor_form,,
new_manager_type × reason_category,,caretaker,3,-2.0893168398854316,-4.0043076214741635,-1.7595235792990227,0.3333333333333333,0.3333333333333333,0.6666666666666666,relegation_battle,,
new_manager_type × reason_category,,external,4,-2.421196228193525,-3.102018204558111,-1.8412832002733748,0.25,0.0,0.75,club_disruption,,
new_manager_type × reason_category,,returning,3,-2.530621485124478,-2.6857751402896577,-1.85449456209575,0.0,0.0,0.6666666666666666,poor_form,,
new_manager_type × reason_category,,caretaker,2,-2.8725268121503955,-2.8725268121503955,-2.6493104839017736,0.0,0.0,1.0,club_disruption,,
new_manager_type × reason_category,,external,1,-4.8603573889585014,-4.8603573889585014,-4.5690860463640846,0.0,0.0,1.0,tactical_mismatch,,
new_manager_type × reason_category,,returning,1,-8.366893236284307,-8.366893236284307,-7.036620906362932,0.0,0.0,1.0,club_disruption,,
pre_context_auto × new_manager_type,,caretaker,1,5.532087015508243,5.532087015508243,6.862359345429618,1.0,1.0,0.0,,attack_stagnation,
pre_context_auto × new_manager_type,,returning,1,5.250954458324604,5.250954458324604,5.40611577222743,1.0,1.0,0.0,,low_base_strength,
pre_context_auto × new_manager_type,,returning,5,2.4231965376849014,0.6591154747025766,2.660023868802682,0.6,0.4,0.4,,attack_stagnation,
pre_context_auto × new_manager_type,,internal,8,1.2751793880066693,1.2028990599821736,1.657162278165154,0.625,0.5,0.375,,mixed_or_unclear,
pre_context_auto × new_manager_type,,internal,14,1.2281836956776335,0.17271041647970842,1.7444830109216494,0.5,0.35714285714285715,0.2857142857142857,,both_attack_defense_bad,
pre_context_auto × new_manager_type,,external,7,0.4909766598793914,0.11103229468337691,0.72098023664661,0.5714285714285714,0.2857142857142857,0.2857142857142857,,defense_collapse,
pre_context_auto × new_manager_type,,external,12,0.2907649232981328,0.6702036115573909,0.6005646671573343,0.75,0.4166666666666667,0.25,,both_attack_defense_bad,
pre_context_auto × new_manager_type,,internal,12,-0.004120752192922479,0.2264295093049834,0.2576174940476908,0.5,0.5,0.4166666666666667,,defense_collapse,
pre_context_auto × new_manager_type,,returning,2,-0.06687586304481676,-0.06687586304481676,0.15634046520380496,0.5,0.0,0.0,,both_attack_defense_bad,
pre_context_auto × new_manager_type,,external,7,-0.3129970772841422,-0.14804116628032662,-0.04410492089075462,0.42857142857142855,0.42857142857142855,0.42857142857142855,,mixed_or_unclear,
