event_id,season,team,old_manager,new_manager,effective_change_date,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
PSEUDO_0056,2016,名古屋,no_change_control,no_change_control,2016-07-13,after_1_10,1,10,10,1,0.9827497222162804,0.6,-0.38274972221628034,9.827497222162805,6.0,-3.8274972221628034,-0.9589382540628433,0.1934388096302826,1.1085193414404326,0.5,-0.6085193414404326,1.7767321732074326,1.7,0.07673217320743257,-0.6802514154551718,0.8337157618700368,-0.5317871682330002,0.23588265300739444,0.275101763194097,0.48901558379850857,0.4,19.0
PSEUDO_0056,2016,名古屋,no_change_control,no_change_control,2016-07-13,after_4_6,4,6,3,1,0.7860982529460196,0.3333333333333333,-0.45276491961268633,2.358294758838059,1.0,-1.358294758838059,-1.0554837418605494,0.14995390263517677,0.997446865706657,0.0,-0.997446865706657,2.0263405267541446,1.3333333333333333,0.6930071934208112,-0.5756646761278011,1.9616790629694236,-0.30443967228584584,0.1758232874080047,0.25862839072200544,0.5655483218699898,0.3333333333333333,19.0
PSEUDO_0056,2016,名古屋,no_change_control,no_change_control,2016-07-13,after_7_10,7,10,4,1,1.0805197488534846,1.0,-0.08051974885348465,4.322078995413938,4.0,-0.3220789954139386,-1.35933637060435,1.1982968728973808,1.1344683850302049,1.0,-0.13446838503020495,1.5683474630581737,1.75,-0.18165253694182615,-1.3724567508620034,1.0091516769783513,-0.31612092197203107,0.26032046861607205,0.2995583430052684,0.44012118837865954,0.5,19.0
PSEUDO_0057,2016,湘南,no_change_control,no_change_control,2016-09-10,after_1_3,1,3,3,1,1.2504615563638726,0.3333333333333333,-0.9171282230305392,3.7513846690916175,1.0,-2.7513846690916175,-1.7540142140719364,-0.08024223198914193,1.0008648099951438,0.0,-1.0008648099951438,1.1695396307621546,1.6666666666666667,-0.4971270359045122,-2.399590400302663,1.4053363284936387,-1.4979918458996557,0.3095839250831346,0.32170978111446874,0.36870629380239656,0.3333333333333333,27.0
PSEUDO_0057,2016,湘南,no_change_control,no_change_control,2016-09-10,after_1_5,1,5,5,1,1.1051587112607302,0.4,-0.70515871126073,5.52579355630365,2.0,-3.5257935563036504,-1.3815107623550766,-0.028806660166383447,0.9318161546010059,0.4,-0.5318161546010058,1.31529001004466,1.6,-0.28470998995533997,-1.8153191595660199,1.2458991796553398,-0.8165261445563455,0.26401270012352185,0.3131206108901644,0.42286668898631363,0.4,27.0
PSEUDO_0057,2016,湘南,no_change_control,no_change_control,2016-09-10,after_1_10,1,10,7,1,1.117155137390451,1.1428571428571428,0.02570200546669207,7.820085961733156,8.0,0.1799140382668445,-1.0122266882382747,1.0636306991716589,1.0049714147355913,0.8571428571428571,-0.1478285575927342,1.3667278471594753,1.2857142857142858,0.08101356144518955,-1.0941537496043345,1.2561808724947134,-0.06681499614754445,0.26884285594412743,0.31062656955806844,0.4205305744978041,0.42857142857142855,27.0
PSEUDO_0057,2016,湘南,no_change_control,no_change_control,2016-09-10,after_4_6,4,6,3,1,0.9218408864813469,1.3333333333333333,0.41149244685198655,2.7655226594440405,4.0,1.2344773405559597,-1.3375998968642828,2.160584790568256,0.8804089749681278,1.0,0.1195910250318722,1.5309394471917377,1.0,0.5309394471917375,-1.6876587101912133,2.749537604574688,0.6505304722236097,0.20621351699760634,0.3032003354885278,0.4905861475138659,0.6666666666666666,27.0
PSEUDO_0057,2016,湘南,no_change_control,no_change_control,2016-09-10,after_7_10,7,10,1,1,1.3031786331974975,3.0,1.6968213668025025,1.3031786331974975,3.0,1.6968213668025025,1.6968213668025025,1.6968213668025025,1.390978548259324,3.0,1.609021451740676,1.465657696254651,1.0,0.46565769625465103,0.46565769625465103,0.46565769625465103,2.074679147995327,0.3345076653666693,0.2996556370974895,0.36583669753584125,0.0,27.0
PSEUDO_0058,2016,福岡,no_change_control,no_change_control,2016-08-20,after_1_3,1,3,3,1,0.7918375709771799,0.0,-0.7918375709771799,2.3755127129315396,0.0,-2.3755127129315396,-1.3014400000849964,-0.2822351418693634,0.6577905631470223,1.0,0.3422094368529776,1.5377604836705843,3.0,-1.4622395163294157,-2.2657403471186797,-0.6587386855401516,-1.1200300794764384,0.17158736648122072,0.27707547153351786,0.5513371619852615,0.3333333333333333,25.0
PSEUDO_0058,2016,福岡,no_change_control,no_change_control,2016-08-20,after_1_5,1,5,5,1,0.9430677904220524,0.6,-0.3430677904220524,4.715338952110262,3.0,-1.715338952110262,-1.4527101256579016,0.7665745448137967,0.7402400263767691,1.2,0.45975997362323084,1.3530823554310119,2.6,-1.2469176445689882,-2.4638717685926776,-0.029963520545298605,-0.7871576709457576,0.2149408358339806,0.2982452829201107,0.4868138812459087,0.4,25.0
