target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2024,2023,0.2,0.995,0.2,0.15,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5873999999999997,0.09573,0.24546578947368422,14,18.7,4.699999999999999,17,15.419500000000001,1.580499999999999,8,12.3432,4.3431999999999995,1,3.7412,2.7412,9,7.9014,1.0986000000000002,11,9.425099999999999,1.5749000000000013,4,4.816299999999998,0.8162999999999982,13,9.2722,3.7278000000000002,prev020_decay0995,3.0,1.5652000000000001,1.4347999999999999,,,
2025,2024,0.2,0.995,0.2,0.15,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.25985,0.148535,0.2803063157894737,3,4.6689,1.6688999999999998,2,5.579199999999998,3.5791999999999984,8,4.535800000000001,3.464199999999999,5,5.3211,0.3211000000000004,15,18.113,3.1129999999999995,16,11.4139,4.5861,9,11.432400000000003,2.432400000000003,7,6.178,0.8220000000000001,prev020_decay0995,6.0,10.053700000000001,4.053700000000001,14.0,9.8034,4.1966
2023,2022,0.2,0.995,0.2,0.2,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.042511111111111,0.17352222222222224,0.2388797385620915,13,14.7038,1.7037999999999993,17,16.1461,0.8538999999999994,8,7.706399999999999,0.2936000000000014,1,2.5018,1.5017999999999998,2,1.5704,0.4296,6,3.5412999999999997,2.4587000000000003,16,13.901700000000002,2.0982999999999983,4,4.409299999999999,0.4092999999999991,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.58516,0.096305,0.24566105263157895,14,18.7043,4.7043,17,15.3572,1.6427999999999994,8,12.358099999999997,4.358099999999997,1,3.6887999999999996,2.6887999999999996,9,7.8921,1.1078999999999999,11,9.429299999999998,1.5707000000000022,4,4.8420000000000005,0.8420000000000005,13,9.270999999999999,3.729000000000001,prev020_decay0995,3.0,1.5514000000000001,1.4485999999999999,,,
2025,2024,0.2,0.995,0.2,0.2,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2491499999999993,0.15244,0.28038684210526316,3,4.663199999999999,1.663199999999999,2,5.524000000000001,3.524000000000001,8,4.566599999999999,3.4334000000000007,5,5.3444,0.34440000000000026,15,18.0949,3.094899999999999,16,11.451700000000002,4.548299999999998,9,11.4304,2.4304000000000006,7,6.1788,0.8212000000000002,prev020_decay0995,6.0,10.0914,4.0914,14.0,9.828299999999999,4.171700000000001
2023,2022,0.2,0.995,0.2,0.25,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0421,0.17292222222222223,0.23854117647058823,13,14.6913,1.6913,17,16.123,0.8769999999999989,8,7.7322999999999995,0.2677000000000005,1,2.5035999999999996,1.5035999999999996,2,1.5706000000000002,0.4293999999999998,6,3.5078,2.4922,16,13.9225,2.0775000000000006,4,4.420599999999999,0.4205999999999994,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.25,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5873600000000003,0.09542999999999999,0.24551684210526314,14,18.6937,4.6937,17,15.348,1.6519999999999992,8,12.335099999999999,4.335099999999999,1,3.7131999999999996,2.7131999999999996,9,7.872000000000001,1.1279999999999992,11,9.409699999999999,1.590300000000001,4,4.801399999999999,0.8013999999999992,13,9.263999999999998,3.7360000000000024,prev020_decay0995,3.0,1.5433999999999999,1.4566000000000001,,,
2025,2024,0.2,0.995,0.2,0.25,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2574199999999998,0.15,0.2802794736842105,3,4.674599999999999,1.674599999999999,2,5.5404,3.5404,8,4.527499999999999,3.472500000000001,5,5.361300000000002,0.36130000000000173,15,18.145500000000002,3.145500000000002,16,11.478000000000002,4.5219999999999985,9,11.395200000000003,2.3952000000000027,7,6.171799999999999,0.8282000000000007,prev020_decay0995,6.0,10.059899999999999,4.059899999999999,14.0,9.8535,4.1465
2023,2022,0.2,0.995,0.2,0.3,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0364555555555564,0.17296111111111112,0.23959281045751635,13,14.710700000000001,1.710700000000001,17,16.1528,0.8472000000000008,8,7.7501,0.24990000000000023,1,2.4928000000000003,1.4928000000000003,2,1.5741999999999998,0.4258000000000002,6,3.5210000000000004,2.4789999999999996,16,13.897899999999998,2.102100000000002,4,4.431800000000001,0.43180000000000085,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.3,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.580309999999999,0.09713999999999999,0.2453757894736842,14,18.698999999999998,4.698999999999998,17,15.395299999999999,1.6047000000000011,8,12.360099999999997,4.360099999999997,1,3.6992,2.6992,9,7.929600000000001,1.0703999999999994,11,9.4246,1.5754000000000001,4,4.7838,0.7838000000000003,13,9.2187,3.7813,prev020_decay0995,3.0,1.5582,1.4418,,,
2025,2024,0.2,0.995,0.2,0.3,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2550199999999996,0.15009999999999998,0.2803563157894737,3,4.6227,1.6227,2,5.545599999999998,3.5455999999999976,8,4.5671,3.4329,5,5.3912,0.39120000000000044,15,18.146099999999997,3.146099999999997,16,11.5012,4.498799999999999,9,11.4023,2.4023000000000003,7,6.161999999999998,0.8380000000000019,prev020_decay0995,6.0,10.0142,4.014200000000001,14.0,9.866899999999998,4.133100000000002
