target_year,previous_year,prev_weight,prev_decay,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2024,2023,0.2,0.95,1000,20,306,380,190,190,2.6068000000000007,0.09244999999999999,0.24642105263157896,14,18.698999999999998,4.698999999999998,17,15.137,1.8629999999999995,8,12.841,4.840999999999999,1,3.410999999999999,2.410999999999999,9,7.911,1.0890000000000004,11,9.644,1.3559999999999999,4,4.853,0.8529999999999998,13,9.288999999999998,3.711000000000002,3.0,1.535,1.465,,,
2025,2024,0.2,0.95,1000,20,380,380,190,190,2.298,0.1472,0.2804842105263158,3,4.675999999999999,1.6759999999999993,2,5.433000000000001,3.4330000000000007,8,4.493,3.5069999999999997,5,5.385000000000001,0.3850000000000007,15,18.063,3.062999999999999,16,11.513000000000002,4.486999999999998,9,11.716000000000001,2.716000000000001,7,6.154000000000002,0.8459999999999983,6.0,10.235000000000001,4.235000000000001,14.0,9.919000000000002,4.080999999999998
2023,2022,0.3,1.0,1000,18,306,306,153,153,2.0853333333333333,0.16599999999999998,0.23916993464052289,13,14.748000000000001,1.748000000000001,17,15.890999999999998,1.1090000000000018,8,7.401999999999999,0.5980000000000008,1,2.7880000000000003,1.7880000000000003,2,1.418,0.5820000000000001,6,3.735,2.265,16,14.025000000000002,1.9749999999999979,4,4.351,0.351,,,,,,
2024,2023,0.3,1.0,1000,20,306,380,190,190,2.6338999999999997,0.09624999999999999,0.24651578947368422,14,18.6,4.600000000000001,17,15.229000000000001,1.770999999999999,8,12.538,4.538,1,3.318,2.318,9,7.587000000000001,1.4129999999999994,11,9.283000000000001,1.7169999999999987,4,5.332,1.3319999999999999,13,9.290000000000001,3.709999999999999,3.0,1.5319999999999998,1.4680000000000002,,,
2025,2024,0.3,1.0,1000,20,380,380,190,190,2.2312,0.1469,0.2823421052631579,3,5.112,2.112,2,5.774999999999999,3.7749999999999986,8,4.69,3.3099999999999996,5,5.037999999999999,0.03799999999999937,15,17.785999999999998,2.785999999999998,16,11.735000000000001,4.264999999999999,9,11.513000000000002,2.5130000000000017,7,6.271000000000001,0.7289999999999992,6.0,9.716999999999999,3.7169999999999987,14.0,9.829,4.170999999999999
2023,2022,0.3,0.995,1000,18,306,306,153,153,2.083666666666667,0.17083333333333334,0.23976470588235294,13,14.709999999999999,1.709999999999999,17,15.895,1.1050000000000004,8,7.2959999999999985,0.7040000000000015,1,2.73,1.73,2,1.457,0.5429999999999999,6,3.7710000000000004,2.2289999999999996,16,13.96,2.039999999999999,4,4.364,0.3639999999999999,,,,,,
2024,2023,0.3,0.995,1000,20,306,380,190,190,2.6459,0.09674999999999999,0.2469263157894737,14,18.652,4.652000000000001,17,15.288,1.7119999999999997,8,12.752,4.752000000000001,1,3.306000000000001,2.306000000000001,9,7.329000000000001,1.6709999999999994,11,9.462,1.5380000000000003,4,5.258,1.258,13,9.302000000000001,3.6979999999999986,3.0,1.549,1.451,,,
2025,2024,0.3,0.995,1000,20,380,380,190,190,2.2527999999999997,0.14515,0.2812631578947368,3,5.155999999999999,2.155999999999999,2,5.877999999999999,3.8779999999999992,8,4.619,3.3810000000000002,5,5.059,0.05900000000000016,15,17.851,2.850999999999999,16,11.794,4.2059999999999995,9,11.303999999999998,2.3039999999999985,7,6.364,0.6360000000000001,6.0,9.703999999999999,3.703999999999999,14.0,9.786,4.214
2023,2022,0.3,0.99,1000,18,306,306,153,153,2.0670000000000006,0.1731111111111111,0.24005882352941177,13,14.727999999999998,1.727999999999998,17,16.005,0.995000000000001,8,7.366,0.6340000000000003,1,2.7100000000000004,1.7100000000000004,2,1.414,0.5860000000000001,6,3.9020000000000006,2.0979999999999994,16,14.001000000000001,1.9989999999999988,4,4.366999999999999,0.3669999999999991,,,,,,
2024,2023,0.3,0.99,1000,20,306,380,190,190,2.6663999999999994,0.09535,0.24764736842105264,14,18.631,4.631,17,15.291999999999998,1.708000000000002,8,12.785,4.785,1,3.3110000000000004,2.3110000000000004,9,7.322,1.678,11,9.372000000000002,1.6279999999999983,4,5.241999999999999,1.241999999999999,13,9.075000000000001,3.924999999999999,3.0,1.5940000000000003,1.4059999999999997,,,
2025,2024,0.3,0.99,1000,20,380,380,190,190,2.2692000000000005,0.1459,0.2821,3,5.127999999999999,2.1279999999999992,2,5.848999999999999,3.8489999999999993,8,4.7139999999999995,3.2860000000000005,5,5.058000000000001,0.05800000000000072,15,17.887,2.8870000000000005,16,11.747000000000002,4.252999999999998,9,11.463000000000003,2.4630000000000027,7,6.210999999999999,0.7890000000000006,6.0,9.776000000000002,3.7760000000000016,14.0,9.805,4.195
2023,2022,0.3,0.985,1000,18,306,306,153,153,2.0663333333333336,0.17394444444444443,0.23967320261437908,13,14.67,1.67,17,16.11,0.8900000000000006,8,7.271,0.7290000000000001,1,2.712,1.7120000000000002,2,1.407,0.593,6,3.8030000000000004,2.1969999999999996,16,14.020000000000001,1.9799999999999986,4,4.389000000000001,0.3890000000000011,,,,,,
2024,2023,0.3,0.985,1000,20,306,380,190,190,2.6737,0.0928,0.24673684210526317,14,18.634,4.634,17,15.225999999999999,1.774000000000001,8,12.783,4.7829999999999995,1,3.2979999999999996,2.2979999999999996,9,7.4780000000000015,1.5219999999999985,11,9.487000000000002,1.5129999999999981,4,5.292999999999999,1.2929999999999993,13,9.088,3.912000000000001,3.0,1.537,1.463,,,
2025,2024,0.3,0.985,1000,20,380,380,190,190,2.2569000000000004,0.14409999999999998,0.28229473684210526,3,4.968,1.968,2,5.918,3.918,8,4.654999999999999,3.3450000000000006,5,4.920999999999999,0.07900000000000063,15,17.98,2.9800000000000004,16,11.786,4.214,9,11.518999999999998,2.5189999999999984,7,6.2330000000000005,0.7669999999999995,6.0,9.618000000000002,3.618000000000002,14.0,9.874,4.1259999999999994
2023,2022,0.3,0.98,1000,18,306,306,153,153,2.0749999999999997,0.1696111111111111,0.23916339869281045,13,14.754,1.7539999999999996,17,16.063000000000002,0.9369999999999976,8,7.3069999999999995,0.6930000000000005,1,2.6859999999999995,1.6859999999999995,2,1.3920000000000001,0.6079999999999999,6,3.8350000000000004,2.1649999999999996,16,13.957,2.0429999999999993,4,4.444000000000001,0.44400000000000084,,,,,,
2024,2023,0.3,0.98,1000,20,306,380,190,190,2.6567,0.09405000000000001,0.24695263157894737,14,18.637999999999998,4.637999999999998,17,15.229,1.7710000000000008,8,12.768999999999998,4.768999999999998,1,3.2880000000000003,2.2880000000000003,9,7.371,1.6289999999999996,11,9.562000000000001,1.4379999999999988,4,5.289999999999999,1.2899999999999991,13,9.084000000000001,3.9159999999999986,3.0,1.5599999999999998,1.4400000000000002,,,
2025,2024,0.3,0.98,1000,20,380,380,190,190,2.2445999999999997,0.1496,0.28245789473684213,3,4.9959999999999996,1.9959999999999996,2,5.804999999999999,3.804999999999999,8,4.611000000000001,3.3889999999999993,5,5.065,0.06500000000000039,15,17.906,2.905999999999999,16,11.814000000000002,4.185999999999998,9,11.571,2.5709999999999997,7,6.307999999999999,0.6920000000000011,6.0,9.599,3.599,14.0,9.990999999999998,4.009000000000002
2023,2022,0.3,0.97,1000,18,306,306,153,153,2.076888888888889,0.17099999999999999,0.2388562091503268,13,14.684,1.6839999999999993,17,16.179,0.8210000000000015,8,7.274,0.726,1,2.6610000000000005,1.6610000000000005,2,1.4820000000000002,0.5179999999999998,6,3.7639999999999993,2.2360000000000007,16,13.831,2.1690000000000005,4,4.427,0.4269999999999996,,,,,,
2024,2023,0.3,0.97,1000,20,306,380,190,190,2.6527999999999996,0.09505,0.2488842105263158,14,18.677,4.677,17,15.312000000000001,1.6879999999999988,8,12.72,4.720000000000001,1,3.3649999999999993,2.3649999999999993,9,7.395999999999999,1.604000000000001,11,9.432000000000002,1.5679999999999978,4,5.302999999999998,1.3029999999999982,13,9.359000000000002,3.6409999999999982,3.0,1.496,1.504,,,
2025,2024,0.3,0.97,1000,20,380,380,190,190,2.2885000000000004,0.14725,0.28292105263157896,3,4.984000000000001,1.9840000000000009,2,5.833,3.833,8,4.542,3.458,5,4.974999999999999,0.025000000000001243,15,17.924,2.9239999999999995,16,11.784999999999998,4.215000000000002,9,11.486000000000004,2.486000000000004,7,6.411999999999999,0.588000000000001,6.0,9.876,3.8759999999999994,14.0,9.665000000000001,4.334999999999999
