target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2024,2023,0.2,0.995,0.15,10000,20,306,380,190,190,2.60214,0.098035,0.24479157894736842,14,18.7316,4.7316,17,15.341199999999999,1.6588000000000012,8,12.813000000000002,4.813000000000002,1,3.4392,2.4392,9,7.863300000000001,1.1366999999999994,11,9.443599999999998,1.5564000000000018,4,4.8347999999999995,0.8347999999999995,13,9.324300000000001,3.675699999999999,prev020_decay0995,3.0,1.5475,1.4525,,,
2025,2024,0.2,0.995,0.15,10000,20,380,380,190,190,2.2913499999999996,0.148845,0.27996894736842104,3,4.746,1.7460000000000004,2,5.6118999999999994,3.6118999999999994,8,4.5661000000000005,3.4338999999999995,5,5.292299999999999,0.2922999999999991,15,18.1111,3.1111000000000004,16,11.5029,4.4971,9,11.724699999999999,2.7246999999999986,7,6.155399999999999,0.8446000000000007,prev020_decay0995,6.0,10.061700000000002,4.061700000000002,14.0,9.7978,4.2021999999999995
2023,2022,0.2,0.995,0.2,10000,18,306,306,153,153,2.050988888888889,0.1735722222222222,0.23803333333333335,13,14.704699999999999,1.704699999999999,17,16.2028,0.7972000000000001,8,7.658399999999999,0.34160000000000057,1,2.4731000000000005,1.4731000000000005,2,1.5217,0.47829999999999995,6,3.6142000000000003,2.3857999999999997,16,13.972100000000001,2.027899999999999,4,4.351700000000001,0.351700000000001,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,10000,20,306,380,190,190,2.606889999999999,0.09725,0.24523736842105262,14,18.735500000000002,4.735500000000002,17,15.349400000000001,1.650599999999999,8,12.784500000000001,4.784500000000001,1,3.4174999999999995,2.4174999999999995,9,7.812900000000002,1.1870999999999983,11,9.425500000000001,1.5744999999999987,4,4.8595999999999995,0.8595999999999995,13,9.326400000000001,3.6735999999999986,prev020_decay0995,3.0,1.5480000000000003,1.4519999999999997,,,
2025,2024,0.2,0.995,0.2,10000,20,380,380,190,190,2.27834,0.14900000000000002,0.28008052631578945,3,4.7198,1.7198000000000002,2,5.540500000000001,3.5405000000000006,8,4.5253000000000005,3.4746999999999995,5,5.257599999999998,0.2575999999999983,15,18.1069,3.1068999999999996,16,11.481499999999997,4.518500000000003,9,11.745399999999997,2.7453999999999965,7,6.181099999999998,0.818900000000002,prev020_decay0995,6.0,10.0736,4.073600000000001,14.0,9.912699999999997,4.087300000000003
2023,2022,0.2,0.995,0.25,10000,18,306,306,153,153,2.0596,0.1735722222222222,0.2374777777777778,13,14.710500000000001,1.7105000000000015,17,16.2482,0.7517999999999994,8,7.6536,0.34640000000000004,1,2.4483,1.4483000000000001,2,1.5319,0.46809999999999996,6,3.5673,2.4327,16,13.903600000000003,2.0963999999999974,4,4.372300000000001,0.37230000000000096,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.25,10000,20,306,380,190,190,2.60451,0.09726499999999999,0.24477263157894738,14,18.7347,4.7347,17,15.372600000000002,1.627399999999998,8,12.809199999999999,4.809199999999999,1,3.4141999999999997,2.4141999999999997,9,7.812900000000002,1.1870999999999983,11,9.453999999999999,1.5460000000000012,4,4.855,0.8550000000000004,13,9.2823,3.7177000000000007,prev020_decay0995,3.0,1.5621,1.4379,,,
2025,2024,0.2,0.995,0.25,10000,20,380,380,190,190,2.2795600000000005,0.150555,0.28082736842105266,3,4.7464,1.7464000000000004,2,5.5692,3.5692000000000004,8,4.500400000000001,3.499599999999999,5,5.231899999999999,0.23189999999999866,15,18.0995,3.099499999999999,16,11.474400000000001,4.525599999999999,9,11.6613,2.6613000000000007,7,6.157399999999999,0.8426000000000009,prev020_decay0995,6.0,10.0723,4.0723,14.0,9.8717,4.128299999999999
2023,2022,0.2,0.995,0.3,10000,18,306,306,153,153,2.055744444444444,0.17605555555555555,0.2374764705882353,13,14.725299999999999,1.725299999999999,17,16.220200000000002,0.779799999999998,8,7.6667000000000005,0.3332999999999995,1,2.4333,1.4333,2,1.5311999999999997,0.4688000000000003,6,3.5866,2.4134,16,13.9336,2.0664,4,4.3473999999999995,0.3473999999999995,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.3,10000,20,306,380,190,190,2.6037800000000004,0.09765499999999999,0.24341947368421052,14,18.7318,4.7318,17,15.3934,1.6066000000000003,8,12.816500000000001,4.816500000000001,1,3.4354000000000005,2.4354000000000005,9,7.8225999999999996,1.1774000000000004,11,9.3805,1.6195000000000004,4,4.880999999999999,0.8809999999999993,13,9.269799999999996,3.7302000000000035,prev020_decay0995,3.0,1.5475,1.4525,,,
2025,2024,0.2,0.995,0.3,10000,20,380,380,190,190,2.27981,0.14915499999999998,0.27997578947368423,3,4.7487,1.7487000000000004,2,5.6278,3.6277999999999997,8,4.4956,3.5044000000000004,5,5.218799999999998,0.2187999999999981,15,18.088,3.088000000000001,16,11.522000000000002,4.477999999999998,9,11.6351,2.6350999999999996,7,6.1803,0.8197000000000001,prev020_decay0995,6.0,10.055099999999998,4.055099999999998,14.0,9.911999999999997,4.088000000000003
