rank,prev_weight,prev_decay,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mae_2023,mae_2024,mae_2025,delta_vs_prev000,delta_vs_prev040_decay0995,delta_vs_prev060_decay0985
27,0.4,0.995,2.3485666666666667,0.3149523191426493,0.13602777777777778,0.25779564270152505,2.091,2.6997,2.2550000000000003,0.028125925925925888,0.0,-0.03282962962962932
28,0.4,1.0,2.354903703703704,0.3258429581477642,0.13488703703703706,0.257957734204793,2.095111111111111,2.7205000000000004,2.2491000000000008,0.03446296296296314,0.006337037037037252,-0.026492592592592068
29,0.5,0.995,2.356955555555556,0.3406522996535604,0.1322296296296296,0.25762526086457976,2.141666666666667,2.7497,2.1795,0.03651481481481511,0.008388888888889223,-0.024440740740740097
30,0.4,0.99,2.357162962962963,0.32512105558067605,0.13694074074074075,0.258088521958491,2.0828888888888883,2.7163,2.2723000000000004,0.0367222222222221,0.008596296296296213,-0.024233333333333107
31,0.5,1.0,2.365662962962963,0.3492741214189854,0.13292037037037038,0.25846181630546955,2.121888888888889,2.7658,2.2093,0.045222222222222275,0.017096296296296387,-0.015733333333332933
32,0.6,1.0,2.3671037037037035,0.3511209178189777,0.13072777777777778,0.2590043687650499,2.150111111111111,2.7722,2.179,0.046662962962962684,0.018537037037036797,-0.014292592592592523
33,0.5,0.95,2.376781481481481,0.32049100685237786,0.13050925925925924,0.2579397890150212,2.155444444444444,2.7442999999999995,2.2306,0.05634074074074036,0.02821481481481447,-0.004614814814814849
34,0.5,0.985,2.377166666666666,0.34353250695288373,0.13043703703703705,0.25825434009861253,2.1229999999999998,2.7679999999999993,2.2405,0.0567259259259254,0.028599999999999515,-0.004229629629629805
35,0.5,0.98,2.378111111111111,0.35564112581417073,0.13154814814814814,0.2576951955051026,2.1543333333333328,2.7882000000000007,2.1917999999999997,0.05767037037037026,0.029544444444444373,-0.0032851851851849467
36,0.6,0.995,2.379311111111111,0.3896270144258098,0.12819814814814814,0.25823208347666554,2.1513333333333335,2.8291999999999997,2.1574,0.05887037037037013,0.03074444444444424,-0.002085185185185079
37,0.6,0.985,2.381396296296296,0.3494755658873214,0.12819629629629628,0.2583427703245041,2.1508888888888884,2.7835,2.2098,0.06095555555555521,0.03282962962962932,0.0
38,0.6,0.99,2.3829592592592594,0.3572086668126774,0.13052962962962963,0.2594883614264419,2.1377777777777776,2.7927999999999997,2.2183000000000006,0.06251851851851864,0.03439259259259275,0.0015629629629634323
39,0.6,0.95,2.387159259259259,0.3403481068969128,0.13151111111111113,0.25802973282880404,2.151777777777778,2.777399999999999,2.2323,0.06671851851851818,0.03859259259259229,0.00576296296296297
40,0.5,0.99,2.3874185185185186,0.33593438335141496,0.13395555555555558,0.25772240568742116,2.1325555555555558,2.7681,2.2616,0.0669777777777778,0.038851851851851915,0.006022222222222595
41,0.6,0.98,2.387585185185185,0.3665193516076341,0.1314685185185185,0.25975430569888774,2.1345555555555555,2.8078999999999996,2.2203,0.06714444444444423,0.03901851851851834,0.0061888888888890214
42,0.6,0.97,2.3954333333333335,0.34961230432199214,0.12903888888888887,0.2587269235179452,2.168,2.798,2.2203000000000004,0.07499259259259272,0.046866666666666834,0.014037037037037514
43,0.7,0.98,2.401762962962963,0.38464722178424426,0.12770185185185187,0.25892590299277607,2.182888888888889,2.8459000000000003,2.1765,0.08132222222222207,0.053196296296296186,0.020366666666666866
44,0.7,0.995,2.4078555555555554,0.40569107613954175,0.12907407407407406,0.2605437564499484,2.1616666666666666,2.8761,2.1857999999999995,0.08741481481481461,0.059288888888888724,0.026459259259259404
45,0.7,1.0,2.420418518518519,0.3960471393462677,0.12850555555555557,0.260206260749914,2.2045555555555563,2.8775000000000004,2.1792000000000007,0.09997777777777817,0.07185185185185228,0.03902222222222296
46,0.7,0.985,2.4230962962962965,0.39114083572862307,0.12652962962962963,0.26004657722738217,2.214888888888889,2.8743000000000003,2.1801,0.10265555555555572,0.07452962962962983,0.041700000000000514
47,0.7,0.99,2.425318518518518,0.3851458510543273,0.12727962962962963,0.2595370255704621,2.208555555555555,2.8699999999999997,2.1974,0.1048777777777774,0.07675185185185152,0.043922222222222196
48,0.7,0.97,2.4274,0.3780308453023375,0.1262037037037037,0.25891436761839237,2.1950000000000003,2.8636,2.2236000000000002,0.1069592592592592,0.07883333333333331,0.04600370370370399
49,0.7,0.95,2.4475777777777785,0.32737224706463486,0.12777222222222223,0.259737908496732,2.235333333333333,2.8246000000000007,2.282800000000001,0.12713703703703771,0.09901111111111183,0.06618148148148251
50,0.8,0.98,2.4555518518518515,0.4039648310589802,0.12450370370370371,0.2612327256048618,2.234555555555555,2.9218,2.2103,0.13511111111111074,0.10698518518518485,0.07415555555555553
51,0.8,0.995,2.4565259259259262,0.3878805125505284,0.12559444444444445,0.26072632725604866,2.2297777777777785,2.9044,2.2354000000000003,0.13608518518518542,0.10795925925925953,0.07512962962963021
52,0.8,0.97,2.4567296296296295,0.38886919161756756,0.12899259259259258,0.2598391468868249,2.2168888888888882,2.9053999999999998,2.2479,0.13628888888888868,0.1081629629629628,0.07533333333333347
53,0.8,0.99,2.469303703703704,0.40495072407644983,0.12687037037037038,0.26101478041509,2.236111111111111,2.9369,2.2349000000000006,0.14886296296296297,0.12073703703703709,0.08790740740740777
54,0.8,0.985,2.469937037037037,0.3965503368688296,0.12429814814814814,0.26080301570920766,2.2221111111111105,2.9273000000000002,2.2603999999999997,0.14949629629629602,0.12137037037037013,0.08854074074074081
55,0.8,1.0,2.470111111111111,0.3984810288713511,0.1250611111111111,0.26071317509459924,2.261333333333334,2.9296,2.2193999999999994,0.14967037037037034,0.12154444444444445,0.08871481481481513
56,0.8,0.95,2.481955555555555,0.3677653861625092,0.12332037037037037,0.2603926155257425,2.272666666666666,2.9066,2.2665999999999995,0.16151481481481422,0.13338888888888834,0.10055925925925902
