config_id,prev_rating_mode,prev_weight,attack_goals,attack_xg,attack_sot,attack_shots,defense_ga,defense_xga,defense_sota,defense_sa,mean_mae,std_mae,max_mae,baseline_v14_mean_mae_search,delta_vs_baseline_search,mae_2025
73,official_stats_only,0.3,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.4603,0.0,2.4603,2.2081,0.2522000000000002,2.4603
27,official_stats_only,0.2,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.4604,0.0,2.4604,2.2081,0.25229999999999997,2.4604
61,official_stats_only,0.3,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.4638,0.0,2.4638,2.2081,0.25570000000000004,2.4638
71,official_stats_only,0.3,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.4644000000000004,0.0,2.4644000000000004,2.2081,0.2563000000000004,2.4644000000000004
55,official_stats_only,0.3,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.4686,0.0,2.4686,2.2081,0.26049999999999995,2.4686
65,official_stats_only,0.3,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.4705000000000004,0.0,2.4705000000000004,2.2081,0.2624000000000004,2.4705000000000004
53,official_stats_only,0.3,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.4758999999999998,0.0,2.4758999999999998,2.2081,0.2677999999999998,2.4758999999999998
63,official_stats_only,0.3,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.4783,0.0,2.4783,2.2081,0.2702,2.4783
66,official_stats_only,0.3,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.478700000000001,0.0,2.478700000000001,2.2081,0.27060000000000084,2.478700000000001
62,official_stats_only,0.3,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.4799,0.0,2.4799,2.2081,0.27180000000000026,2.4799
89,official_stats_only,0.4,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.4844000000000004,0.0,2.4844000000000004,2.2081,0.27630000000000043,2.4844000000000004
54,official_stats_only,0.3,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.486300000000001,0.0,2.486300000000001,2.2081,0.2782000000000009,2.486300000000001
80,official_stats_only,0.4,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.4914,0.0,2.4914,2.2081,0.2833000000000001,2.4914
60,official_stats_only,0.3,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.4972000000000003,0.0,2.4972000000000003,2.2081,0.28910000000000036,2.4972000000000003
87,official_stats_only,0.4,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.5004999999999997,0.0,2.5004999999999997,2.2081,0.29239999999999977,2.5004999999999997
93,official_stats_only,0.4,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.5025,0.0,2.5025,2.2081,0.2944,2.5025
88,official_stats_only,0.4,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.5058000000000002,0.0,2.5058000000000002,2.2081,0.2977000000000003,2.5058000000000002
101,official_stats_only,0.4,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.5069,0.0,2.5069,2.2081,0.29879999999999995,2.5069
91,official_stats_only,0.4,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.5113000000000003,0.0,2.5113000000000003,2.2081,0.30320000000000036,2.5113000000000003
92,official_stats_only,0.4,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.5128,0.0,2.5128,2.2081,0.30469999999999997,2.5128
100,official_stats_only,0.4,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.5149999999999997,0.0,2.5149999999999997,2.2081,0.30689999999999973,2.5149999999999997
97,official_stats_only,0.4,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.516,0.0,2.516,2.2081,0.30790000000000006,2.516
95,official_stats_only,0.4,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.5191000000000003,0.0,2.5191000000000003,2.2081,0.3110000000000004,2.5191000000000003
99,official_stats_only,0.4,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.5204999999999997,0.0,2.5204999999999997,2.2081,0.3123999999999998,2.5204999999999997
82,official_stats_only,0.4,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.5241000000000002,0.0,2.5241000000000002,2.2081,0.3160000000000003,2.5241000000000002
78,official_stats_only,0.4,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.5261000000000005,0.0,2.5261000000000005,2.2081,0.3180000000000005,2.5261000000000005
90,official_stats_only,0.4,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.5282000000000004,0.0,2.5282000000000004,2.2081,0.3201000000000005,2.5282000000000004
85,official_stats_only,0.4,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.5284000000000004,0.0,2.5284000000000004,2.2081,0.3203000000000005,2.5284000000000004
107,official_stats_only,0.5,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.5320000000000005,0.0,2.5320000000000005,2.2081,0.3239000000000005,2.5320000000000005
118,official_stats_only,0.5,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.5336000000000007,0.0,2.5336000000000007,2.2081,0.3255000000000008,2.5336000000000007
98,official_stats_only,0.4,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.5362999999999998,0.0,2.5362999999999998,2.2081,0.3281999999999998,2.5362999999999998
112,official_stats_only,0.5,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.5377,0.0,2.5377,2.2081,0.3296000000000001,2.5377
123,official_stats_only,0.5,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.5377999999999994,0.0,2.5377999999999994,2.2081,0.32969999999999944,2.5377999999999994
122,official_stats_only,0.5,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.5383000000000004,0.0,2.5383000000000004,2.2081,0.3302000000000005,2.5383000000000004
77,official_stats_only,0.4,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.5387,0.0,2.5387,2.2081,0.3306,2.5387
86,official_stats_only,0.4,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.5406,0.0,2.5406,2.2081,0.3325,2.5406
79,official_stats_only,0.4,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.5412,0.0,2.5412,2.2081,0.33309999999999995,2.5412
103,official_stats_only,0.5,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.5427000000000004,0.0,2.5427000000000004,2.2081,0.33460000000000045,2.5427000000000004
83,official_stats_only,0.4,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.5458,0.0,2.5458,2.2081,0.3376999999999999,2.5458
81,official_stats_only,0.4,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.546099999999999,0.0,2.546099999999999,2.2081,0.3379999999999992,2.546099999999999
84,official_stats_only,0.4,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.5501,0.0,2.5501,2.2081,0.3420000000000001,2.5501
115,official_stats_only,0.5,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.5507000000000004,0.0,2.5507000000000004,2.2081,0.34260000000000046,2.5507000000000004
94,official_stats_only,0.4,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.5536000000000003,0.0,2.5536000000000003,2.2081,0.34550000000000036,2.5536000000000003
102,official_stats_only,0.5,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.5538999999999996,0.0,2.5538999999999996,2.2081,0.34579999999999966,2.5538999999999996
109,official_stats_only,0.5,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.5540999999999996,0.0,2.5540999999999996,2.2081,0.34599999999999964,2.5540999999999996
126,official_stats_only,0.5,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.5563000000000007,0.0,2.5563000000000007,2.2081,0.34820000000000073,2.5563000000000007
117,official_stats_only,0.5,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.5572,0.0,2.5572,2.2081,0.34909999999999997,2.5572
125,official_stats_only,0.5,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.5574000000000003,0.0,2.5574000000000003,2.2081,0.3493000000000004,2.5574000000000003
113,official_stats_only,0.5,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.5578000000000003,0.0,2.5578000000000003,2.2081,0.34970000000000034,2.5578000000000003
119,official_stats_only,0.5,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.5600000000000005,0.0,2.5600000000000005,2.2081,0.35190000000000055,2.5600000000000005
124,official_stats_only,0.5,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.5663000000000005,0.0,2.5663000000000005,2.2081,0.3582000000000005,2.5663000000000005
96,official_stats_only,0.4,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.5704000000000002,0.0,2.5704000000000002,2.2081,0.3623000000000003,2.5704000000000002
105,official_stats_only,0.5,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.5732999999999997,0.0,2.5732999999999997,2.2081,0.36519999999999975,2.5732999999999997
116,official_stats_only,0.5,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.5765000000000002,0.0,2.5765000000000002,2.2081,0.3684000000000003,2.5765000000000002
121,official_stats_only,0.5,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.5821,0.0,2.5821,2.2081,0.3740000000000001,2.5821
111,official_stats_only,0.5,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.5832,0.0,2.5832,2.2081,0.3751000000000002,2.5832
108,official_stats_only,0.5,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.5859000000000005,0.0,2.5859000000000005,2.2081,0.3778000000000006,2.5859000000000005
120,official_stats_only,0.5,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.5915,0.0,2.5915,2.2081,0.38339999999999996,2.5915
104,official_stats_only,0.5,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.5931999999999995,0.0,2.5931999999999995,2.2081,0.38509999999999955,2.5931999999999995
106,official_stats_only,0.5,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.5995,0.0,2.5995,2.2081,0.39139999999999997,2.5995
114,official_stats_only,0.5,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.6043,0.0,2.6043,2.2081,0.3961999999999999,2.6043
110,official_stats_only,0.5,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.6088999999999998,0.0,2.6088999999999998,2.2081,0.4007999999999998,2.6088999999999998
