season,league,league_level,team,team_std,stat_key,stat_label,stat_category,higher_is_better,rank,value,source_url,scraped_at
2019,j1,1,ガンバ大阪,G大阪,shots_on_target,枠内シュート総数,attack,True,5,165.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,セレッソ大阪,C大阪,shots_on_target,枠内シュート総数,attack,True,6,157.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,名古屋グランパス,名古屋,shots_on_target,枠内シュート総数,attack,True,7,154.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,鹿島アントラーズ,鹿島,shots_on_target,枠内シュート総数,attack,True,8,147.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,清水エスパルス,清水,shots_on_target,枠内シュート総数,attack,True,9,144.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,ベガルタ仙台,仙台,shots_on_target,枠内シュート総数,attack,True,10,143.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,ＦＣ東京,FC東京,shots_on_target,枠内シュート総数,attack,True,11,133.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,湘南ベルマーレ,湘南,shots_on_target,枠内シュート総数,attack,True,12,132.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,ジュビロ磐田,磐田,shots_on_target,枠内シュート総数,attack,True,13,130.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,サンフレッチェ広島,広島,shots_on_target,枠内シュート総数,attack,True,14,128.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,浦和レッズ,浦和,shots_on_target,枠内シュート総数,attack,True,15,118.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,松本山雅ＦＣ,松本,shots_on_target,枠内シュート総数,attack,True,15,118.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,サガン鳥栖,鳥栖,shots_on_target,枠内シュート総数,attack,True,17,113.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,大分トリニータ,大分,shots_on_target,枠内シュート総数,attack,True,18,95.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,湘南ベルマーレ,湘南,shots_against,被シュート総数,defense,False,1,531.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,清水エスパルス,清水,shots_against,被シュート総数,defense,False,2,498.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,大分トリニータ,大分,shots_against,被シュート総数,defense,False,3,486.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,ガンバ大阪,G大阪,shots_against,被シュート総数,defense,False,4,481.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,ヴィッセル神戸,神戸,shots_against,被シュート総数,defense,False,5,475.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,浦和レッズ,浦和,shots_against,被シュート総数,defense,False,6,474.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,松本山雅ＦＣ,松本,shots_against,被シュート総数,defense,False,7,472.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,サガン鳥栖,鳥栖,shots_against,被シュート総数,defense,False,8,468.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,北海道コンサドーレ札幌,札幌,shots_against,被シュート総数,defense,False,9,452.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,ベガルタ仙台,仙台,shots_against,被シュート総数,defense,False,9,452.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,セレッソ大阪,C大阪,shots_against,被シュート総数,defense,False,11,451.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,ＦＣ東京,FC東京,shots_against,被シュート総数,defense,False,12,422.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,ジュビロ磐田,磐田,shots_against,被シュート総数,defense,False,13,412.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,鹿島アントラーズ,鹿島,shots_against,被シュート総数,defense,False,14,397.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,名古屋グランパス,名古屋,shots_against,被シュート総数,defense,False,15,389.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
